	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.2808	0.1528	2.1295	0.1594	64	relu	xent
1	2	1.9832	0.2369	1.8042	0.3257	64	relu	xent
2	3	1.7028	0.3824	1.6102	0.4213	64	relu	xent
3	4	1.5879	0.4346	1.5759	0.4431	64	relu	xent
4	5	1.5206	0.4618	1.5889	0.4430	64	relu	xent
5	6	1.4791	0.4766	1.5392	0.4596	64	relu	xent
6	7	1.4400	0.4911	1.5087	0.4716	64	relu	xent
7	8	1.4044	0.5080	1.5013	0.4772	64	relu	xent
8	9	1.3890	0.5109	1.5174	0.4744	64	relu	xent
9	10	1.3741	0.5125	1.4608	0.4873	64	relu	xent
10	11	1.3485	0.5239	1.4866	0.4890	64	relu	xent
11	12	1.3451	0.5284	1.4994	0.4804	64	relu	xent
12	13	1.3355	0.5301	1.4929	0.4862	64	relu	xent
13	14	1.3341	0.5339	1.4903	0.4894	64	relu	xent
14	15	1.3140	0.5388	1.5235	0.4825	64	relu	xent
15	16	1.3062	0.5417	1.4925	0.4927	64	relu	xent
16	17	1.3028	0.5461	1.5193	0.4898	64	relu	xent
17	18	1.2922	0.5484	1.5027	0.4924	64	relu	xent
18	19	1.2826	0.5515	1.5524	0.4715	64	relu	xent
19	20	1.3027	0.5458	1.5687	0.4802	64	relu	xent
20	1	2.2993	0.1516	2.2236	0.1487	128	relu	xent
21	2	2.0813	0.1578	1.9733	0.2140	128	relu	xent
22	3	1.8578	0.2892	1.7006	0.3726	128	relu	xent
23	4	1.6979	0.3840	1.6788	0.3879	128	relu	xent
24	5	1.6185	0.4176	1.6641	0.3983	128	relu	xent
25	6	1.5866	0.4315	1.6802	0.4070	128	relu	xent
26	7	1.5294	0.4550	1.5745	0.4412	128	relu	xent
27	8	1.5159	0.4582	1.5118	0.4657	128	relu	xent
28	9	1.4831	0.4722	1.6423	0.4032	128	relu	xent
29	10	1.4973	0.4666	1.5870	0.4389	128	relu	xent
30	11	1.5139	0.4633	1.5834	0.4479	128	relu	xent
31	12	1.5026	0.4663	1.6228	0.4283	128	relu	xent
32	13	1.4992	0.4625	1.5643	0.4546	128	relu	xent
33	14	1.4739	0.4771	1.5425	0.4651	128	relu	xent
34	15	1.4779	0.4771	1.5439	0.4588	128	relu	xent
