	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.3026	0.1542	2.3025	0.1675	64	relu	xent
1	2	2.3015	0.1557	2.2947	0.1434	64	relu	xent
2	3	2.1464	0.1614	2.0623	0.1653	64	relu	xent
3	4	2.0095	0.2137	1.9539	0.2498	64	relu	xent
4	5	1.8178	0.3044	1.7142	0.3648	64	relu	xent
5	6	1.6629	0.3924	1.6199	0.4213	64	relu	xent
6	7	1.5537	0.4373	1.5339	0.4470	64	relu	xent
7	8	1.4743	0.4684	1.5178	0.4565	64	relu	xent
8	9	1.4248	0.4874	1.4971	0.4632	64	relu	xent
9	10	1.3820	0.5031	1.4445	0.4905	64	relu	xent
10	11	1.3422	0.5178	1.4482	0.4900	64	relu	xent
11	12	1.3076	0.5297	1.4217	0.5018	64	relu	xent
12	13	1.2796	0.5434	1.4134	0.5001	64	relu	xent
13	14	1.2502	0.5554	1.4403	0.5001	64	relu	xent
14	15	1.2278	0.5601	1.4373	0.4999	64	relu	xent
15	16	1.2037	0.5704	1.4070	0.5095	64	relu	xent
16	17	1.1824	0.5759	1.4276	0.5129	64	relu	xent
17	18	1.1614	0.5853	1.4611	0.5046	64	relu	xent
18	19	1.1488	0.5881	1.4328	0.5097	64	relu	xent
19	20	1.1279	0.5962	1.4624	0.5156	64	relu	xent
20	1	2.3026	0.1592	2.3026	0.1532	128	relu	xent
21	2	2.3025	0.1514	2.3021	0.1567	128	relu	xent
22	3	2.2285	0.1463	2.1088	0.1524	128	relu	xent
23	4	2.0840	0.1479	2.0593	0.1529	128	relu	xent
24	5	2.0496	0.1552	2.0502	0.1734	128	relu	xent
25	6	1.9678	0.2140	1.9230	0.2374	128	relu	xent
26	7	1.8806	0.2587	1.8361	0.2965	128	relu	xent
27	8	1.7788	0.3229	1.7268	0.3598	128	relu	xent
28	9	1.6607	0.3830	1.6116	0.4181	128	relu	xent
29	10	1.5683	0.4239	1.6290	0.4013	128	relu	xent
30	11	1.4967	0.4565	1.4879	0.4712	128	relu	xent
31	12	1.4403	0.4779	1.5366	0.4454	128	relu	xent
32	13	1.4049	0.4927	1.5592	0.4425	128	relu	xent
33	14	1.3839	0.5026	1.4672	0.4781	128	relu	xent
34	15	1.3334	0.5190	1.4454	0.4907	128	relu	xent
