	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.3026	0.1509	2.3026	0.1563	64	relu	xent
1	2	2.3026	0.1600	2.3025	0.1673	64	relu	xent
2	3	2.3024	0.1640	2.3022	0.1661	64	relu	xent
3	4	2.2992	0.1509	2.2876	0.1443	64	relu	xent
4	5	2.1673	0.1588	2.1069	0.1642	64	relu	xent
5	6	2.0762	0.1594	2.0496	0.1583	64	relu	xent
6	7	2.0309	0.1809	1.9948	0.2001	64	relu	xent
7	8	1.9513	0.2395	1.9153	0.2578	64	relu	xent
8	9	1.8965	0.2665	1.8748	0.2791	64	relu	xent
9	10	1.8411	0.3086	1.8110	0.3299	64	relu	xent
10	11	1.6851	0.3757	1.6414	0.4029	64	relu	xent
11	12	1.5820	0.4190	1.5834	0.4268	64	relu	xent
12	13	1.5162	0.4476	1.5275	0.4473	64	relu	xent
13	14	1.4600	0.4706	1.5053	0.4653	64	relu	xent
14	15	1.4132	0.4875	1.4999	0.4745	64	relu	xent
15	16	1.3789	0.4992	1.4828	0.4698	64	relu	xent
16	17	1.3429	0.5156	1.4746	0.4760	64	relu	xent
17	18	1.3176	0.5262	1.4662	0.4878	64	relu	xent
18	19	1.2849	0.5354	1.4366	0.4955	64	relu	xent
19	20	1.2557	0.5492	1.4661	0.4919	64	relu	xent
20	1	2.3026	0.1640	2.3026	0.1606	128	relu	xent
21	2	2.3026	0.1535	2.3026	0.1532	128	relu	xent
22	3	2.3026	0.1526	2.3025	0.1531	128	relu	xent
23	4	2.3024	0.1492	2.3019	0.1531	128	relu	xent
24	5	2.2891	0.1439	2.2259	0.1507	128	relu	xent
25	6	2.1270	0.1487	2.0844	0.1503	128	relu	xent
26	7	2.0756	0.1473	2.0668	0.1535	128	relu	xent
27	8	2.0533	0.1498	2.0428	0.1477	128	relu	xent
28	9	2.0393	0.1435	2.0632	0.1387	128	relu	xent
29	10	2.1024	0.1560	2.1213	0.1721	128	relu	xent
30	11	2.0581	0.1952	2.0435	0.2064	128	relu	xent
31	12	2.0151	0.2135	2.0377	0.2194	128	relu	xent
32	13	2.0003	0.2258	2.0031	0.2303	128	relu	xent
33	14	1.9841	0.2353	2.0194	0.2329	128	relu	xent
34	15	1.9632	0.2445	1.9877	0.2448	128	relu	xent
35	16	1.9401	0.2590	1.9980	0.2414	128	relu	xent
36	17	1.9244	0.2671	1.9615	0.2598	128	relu	xent
37	18	1.8945	0.2756	1.9418	0.2768	128	relu	xent
38	19	1.8361	0.3140	1.8159	0.3282	128	relu	xent
39	20	1.7346	0.3570	1.7587	0.3596	128	relu	xent
40	1	2.3026	0.1500	2.3026	0.1633	256	relu	xent
41	2	2.3026	0.1656	2.3026	0.1634	256	relu	xent
42	3	2.3026	0.1639	2.3026	0.1676	256	relu	xent
43	4	2.3026	0.1590	2.3026	0.1592	256	relu	xent
44	5	2.3025	0.1474	2.3025	0.1508	256	relu	xent
45	6	2.3018	0.1465	2.2995	0.1518	256	relu	xent
46	7	2.2471	0.1554	2.1438	0.1597	256	relu	xent
47	8	2.1025	0.1530	2.0717	0.1520	256	relu	xent
48	9	2.0682	0.1510	2.0615	0.1503	256	relu	xent
49	10	2.0465	0.1504	2.0583	0.1505	256	relu	xent
50	11	2.0311	0.1520	2.0411	0.1542	256	relu	xent
51	12	2.0152	0.1577	2.0694	0.1564	256	relu	xent
52	13	1.9937	0.1895	1.9961	0.2254	256	relu	xent
53	14	1.9128	0.2363	1.9356	0.2297	256	relu	xent
54	15	1.8545	0.2497	1.8666	0.2641	256	relu	xent
55	16	1.7914	0.2877	1.8208	0.2916	256	relu	xent
56	17	1.7474	0.3054	1.8137	0.2811	256	relu	xent
57	18	1.7296	0.3133	1.7617	0.3057	256	relu	xent
58	19	1.6935	0.3340	1.7378	0.3239	256	relu	xent
59	20	1.6576	0.3556	1.6963	0.3588	256	relu	xent
60	1	2.3026	0.1492	2.3026	0.1569	512	relu	xent
61	2	2.3026	0.1569	2.3026	0.1510	512	relu	xent
62	3	2.3026	0.1467	2.3026	0.1391	512	relu	xent
63	4	2.3026	0.1383	2.3026	0.1365	512	relu	xent
64	5	2.3026	0.1365	2.3026	0.1361	512	relu	xent
65	6	2.3026	0.1359	2.3025	0.1432	512	relu	xent
66	7	2.3018	0.1421	2.2990	0.1469	512	relu	xent
67	8	2.2206	0.1528	2.1129	0.1526	512	relu	xent
68	9	2.0965	0.1489	2.0724	0.1487	512	relu	xent
69	10	2.0668	0.1500	2.0656	0.1501	512	relu	xent
70	11	2.0485	0.1497	2.0556	0.1485	512	relu	xent
71	12	2.0350	0.1536	2.0722	0.1586	512	relu	xent
72	13	2.0274	0.1544	2.0516	0.1545	512	relu	xent
73	14	2.0139	0.1562	2.0383	0.1535	512	relu	xent
74	15	2.0019	0.1572	2.0391	0.1539	512	relu	xent
75	16	1.9913	0.1538	2.0504	0.1471	512	relu	xent
76	17	1.9763	0.1507	2.0031	0.1519	512	relu	xent
77	18	1.9375	0.1562	1.9915	0.1773	512	relu	xent
78	19	1.9217	0.1872	1.9800	0.1953	512	relu	xent
79	20	1.9069	0.2106	1.9579	0.2092	512	relu	xent
80	1	2.3026	0.1499	2.3026	0.1553	1024	relu	xent
81	2	2.3026	0.1540	2.3026	0.1491	1024	relu	xent
82	3	2.3026	0.1453	2.3026	0.1361	1024	relu	xent
83	4	2.3026	0.1402	2.3026	0.1362	1024	relu	xent
84	5	2.3026	0.1404	2.3026	0.1428	1024	relu	xent
85	6	2.3025	0.1380	2.3023	0.1355	1024	relu	xent
86	7	2.2929	0.1480	2.2407	0.1580	1024	relu	xent
87	8	2.1442	0.1576	2.1106	0.1483	1024	relu	xent
88	9	2.0988	0.1522	2.0794	0.1525	1024	relu	xent
89	10	2.0794	0.1573	2.0719	0.1688	1024	relu	xent
90	11	2.0720	0.1605	2.0626	0.1683	1024	relu	xent
91	12	2.0611	0.1646	2.0702	0.1765	1024	relu	xent
92	13	2.0234	0.1573	2.0146	0.1550	1024	relu	xent
93	14	1.9862	0.1641	2.0065	0.1649	1024	relu	xent
94	15	1.9740	0.1735	1.9904	0.1718	1024	relu	xent
95	16	1.9675	0.1766	1.9966	0.1747	1024	relu	xent
96	17	1.9545	0.1795	1.9841	0.1807	1024	relu	xent
97	18	1.9470	0.1897	1.9853	0.2004	1024	relu	xent
98	19	1.9434	0.2023	1.9673	0.2158	1024	relu	xent
99	20	1.9336	0.2146	1.9663	0.2169	1024	relu	xent
100	1	2.3026	0.1811	2.3026	0.1714	2048	relu	xent
101	2	2.3026	0.1625	2.3026	0.1572	2048	relu	xent
102	3	2.3026	0.1483	2.3026	0.1436	2048	relu	xent
103	4	2.3023	0.1421	2.3008	0.1482	2048	relu	xent
104	5	2.2370	0.1526	2.1576	0.1512	2048	relu	xent
105	6	2.1573	0.1537	2.1487	0.1550	2048	relu	xent
106	7	2.1682	0.1499	2.1498	0.1510	2048	relu	xent
107	8	2.1620	0.1438	2.1682	0.1362	2048	relu	xent
108	9	2.1564	0.1460	2.1913	0.1436	2048	relu	xent
109	10	2.1658	0.1452	2.1695	0.1394	2048	relu	xent
110	11	2.1547	0.1427	2.1590	0.1484	2048	relu	xent
111	12	2.1431	0.1467	2.1365	0.1445	2048	relu	xent
112	13	2.1254	0.1467	2.1222	0.1486	2048	relu	xent
113	14	2.1109	0.1461	2.1109	0.1456	2048	relu	xent
114	15	2.0988	0.1464	2.0966	0.1476	2048	relu	xent
115	16	2.0877	0.1434	2.0818	0.1468	2048	relu	xent
116	17	2.0862	0.1483	2.0827	0.1506	2048	relu	xent
117	18	2.0757	0.1480	2.0701	0.1502	2048	relu	xent
118	19	2.0673	0.1532	2.0666	0.1526	2048	relu	xent
119	20	2.0629	0.1558	2.0574	0.1618	2048	relu	xent
