	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.3023	0.1561	2.2995	0.1505	64	relu	xent
1	2	2.1218	0.1732	2.0318	0.2335	64	relu	xent
2	3	1.8601	0.2938	1.7106	0.3648	64	relu	xent
3	4	1.6491	0.3978	1.5960	0.4211	64	relu	xent
4	5	1.5406	0.4490	1.5438	0.4556	64	relu	xent
5	6	1.4770	0.4758	1.5221	0.4608	64	relu	xent
6	7	1.4266	0.4939	1.4800	0.4803	64	relu	xent
7	8	1.3936	0.5055	1.4648	0.4829	64	relu	xent
8	9	1.3574	0.5181	1.4802	0.4836	64	relu	xent
9	10	1.3304	0.5260	1.4569	0.4879	64	relu	xent
10	11	1.3144	0.5352	1.4349	0.5036	64	relu	xent
11	12	1.2885	0.5438	1.4457	0.5001	64	relu	xent
12	13	1.2778	0.5474	1.4482	0.4887	64	relu	xent
13	14	1.2546	0.5560	1.4602	0.4949	64	relu	xent
14	15	1.2432	0.5600	1.4596	0.4970	64	relu	xent
15	16	1.2296	0.5645	1.4281	0.4990	64	relu	xent
16	17	1.2213	0.5696	1.5076	0.5022	64	relu	xent
17	18	1.2187	0.5677	1.5028	0.4871	64	relu	xent
18	19	1.2115	0.5752	1.4722	0.4993	64	relu	xent
19	20	1.1960	0.5785	1.5249	0.4942	64	relu	xent
20	1	2.3026	0.1539	2.3023	0.1575	128	relu	xent
21	2	2.1813	0.1477	2.0807	0.1508	128	relu	xent
22	3	2.0183	0.1933	1.9124	0.2604	128	relu	xent
23	4	1.8209	0.3121	1.7406	0.3428	128	relu	xent
24	5	1.6514	0.3978	1.5929	0.4229	128	relu	xent
25	6	1.5694	0.4306	1.5572	0.4381	128	relu	xent
26	7	1.5083	0.4550	1.5428	0.4486	128	relu	xent
27	8	1.4845	0.4635	1.5975	0.4323	128	relu	xent
28	9	1.4378	0.4803	1.5457	0.4475	128	relu	xent
29	10	1.4428	0.4793	1.6318	0.4224	128	relu	xent
30	11	1.4112	0.4938	1.5325	0.4632	128	relu	xent
31	12	1.3564	0.5139	1.4731	0.4838	128	relu	xent
32	13	1.3331	0.5227	1.4980	0.4742	128	relu	xent
33	14	1.3196	0.5290	1.5356	0.4680	128	relu	xent
34	15	1.3134	0.5335	1.5121	0.4702	128	relu	xent
35	16	1.2922	0.5384	1.5184	0.4697	128	relu	xent
36	17	1.2721	0.5466	1.4566	0.4944	128	relu	xent
37	18	1.2516	0.5520	1.4791	0.4938	128	relu	xent
38	19	1.2882	0.5414	1.4883	0.4892	128	relu	xent
39	20	1.2583	0.5520	1.4891	0.4904	128	relu	xent
40	1	2.3026	0.1559	2.3026	0.1578	256	relu	xent
