	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.3026	0.1519	2.3026	0.1606	64	relu	xent
1	2	2.3025	0.1620	2.3023	0.1637	64	relu	xent
2	3	2.2900	0.1495	2.1959	0.1611	64	relu	xent
3	4	2.1111	0.1607	2.0801	0.1564	64	relu	xent
4	5	2.0509	0.1765	1.9714	0.2308	64	relu	xent
5	6	1.9325	0.2578	1.9126	0.2618	64	relu	xent
6	7	1.8712	0.2958	1.8183	0.3268	64	relu	xent
7	8	1.7635	0.3524	1.7320	0.3743	64	relu	xent
8	9	1.6153	0.4105	1.5805	0.4250	64	relu	xent
9	10	1.5054	0.4543	1.5219	0.4529	64	relu	xent
10	11	1.4537	0.4759	1.4767	0.4683	64	relu	xent
11	12	1.4035	0.4955	1.4615	0.4782	64	relu	xent
12	13	1.3702	0.5086	1.4443	0.4854	64	relu	xent
13	14	1.3328	0.5232	1.4218	0.4956	64	relu	xent
14	15	1.3025	0.5355	1.4265	0.4975	64	relu	xent
15	16	1.2796	0.5434	1.4156	0.5002	64	relu	xent
16	17	1.2488	0.5535	1.4236	0.5030	64	relu	xent
17	18	1.2201	0.5637	1.4282	0.4976	64	relu	xent
18	19	1.2019	0.5711	1.4262	0.5030	64	relu	xent
19	20	1.1796	0.5796	1.4429	0.5048	64	relu	xent
20	1	2.3026	0.1619	2.3026	0.1557	128	relu	xent
21	2	2.3026	0.1537	2.3025	0.1567	128	relu	xent
22	3	2.3022	0.1509	2.3004	0.1431	128	relu	xent
23	4	2.2142	0.1467	2.1068	0.1502	128	relu	xent
24	5	2.0899	0.1452	2.0747	0.1464	128	relu	xent
25	6	2.0523	0.1433	2.0347	0.1437	128	relu	xent
26	7	2.0191	0.1667	1.9597	0.2135	128	relu	xent
27	8	1.9503	0.2196	1.8980	0.2671	128	relu	xent
28	9	1.8573	0.2732	1.7705	0.3317	128	relu	xent
29	10	1.7317	0.3482	1.7279	0.3620	128	relu	xent
30	11	1.6614	0.3855	1.6428	0.3965	128	relu	xent
31	12	1.5633	0.4263	1.5706	0.4180	128	relu	xent
32	13	1.4895	0.4548	1.5433	0.4461	128	relu	xent
33	14	1.4452	0.4755	1.4994	0.4624	128	relu	xent
