	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0892	0.1551	2.2665	0.1826	64	relu	mse
1	2	0.0823	0.2496	2.2112	0.2768	64	relu	mse
2	3	0.0767	0.3336	2.1449	0.3815	64	relu	mse
3	4	0.0716	0.4099	2.1246	0.4296	64	relu	mse
4	5	0.0682	0.4498	2.1017	0.4492	64	relu	mse
5	6	0.0659	0.4789	2.0809	0.4608	64	relu	mse
6	7	0.0640	0.4985	2.0668	0.4725	64	relu	mse
7	8	0.0626	0.5102	2.0629	0.4836	64	relu	mse
8	9	0.0612	0.5236	2.0576	0.4884	64	relu	mse
9	10	0.0599	0.5389	2.0504	0.4924	64	relu	mse
10	11	0.0590	0.5456	2.0388	0.4881	64	relu	mse
11	12	0.0582	0.5542	2.0355	0.4926	64	relu	mse
12	13	0.0570	0.5652	2.0257	0.4893	64	relu	mse
13	14	0.0563	0.5728	2.0280	0.4969	64	relu	mse
14	15	0.0555	0.5805	2.0163	0.4948	64	relu	mse
15	16	0.0546	0.5866	2.0356	0.4997	64	relu	mse
16	17	0.0539	0.5953	2.0184	0.4979	64	relu	mse
17	18	0.0532	0.6006	2.0193	0.4974	64	relu	mse
18	19	0.0525	0.6074	2.0225	0.4969	64	relu	mse
19	20	0.0519	0.6122	2.0101	0.4959	64	relu	mse
20	1	0.0895	0.1526	2.2714	0.1524	128	relu	mse
21	2	0.0850	0.1833	2.2308	0.2138	128	relu	mse
22	3	0.0815	0.2225	2.2050	0.2651	128	relu	mse
23	4	0.0774	0.3048	2.1549	0.3607	128	relu	mse
24	5	0.0726	0.3733	2.1276	0.3978	128	relu	mse
25	6	0.0683	0.4395	2.0891	0.4523	128	relu	mse
26	7	0.0655	0.4726	2.0853	0.4459	128	relu	mse
27	8	0.0630	0.5001	2.0518	0.4803	128	relu	mse
28	9	0.0612	0.5197	2.0632	0.4720	128	relu	mse
29	10	0.0595	0.5371	2.0375	0.4903	128	relu	mse
30	11	0.0577	0.5555	2.0302	0.4896	128	relu	mse
31	12	0.0563	0.5700	2.0247	0.4892	128	relu	mse
32	13	0.0551	0.5813	2.0194	0.5102	128	relu	mse
33	14	0.0536	0.5956	2.0157	0.5165	128	relu	mse
34	15	0.0524	0.6064	2.0124	0.4973	128	relu	mse
35	16	0.0512	0.6173	2.0081	0.5066	128	relu	mse
36	17	0.0502	0.6269	2.0105	0.5114	128	relu	mse
37	18	0.0492	0.6341	2.0084	0.4934	128	relu	mse
38	19	0.0482	0.6433	1.9996	0.5140	128	relu	mse
39	20	0.0470	0.6564	2.0009	0.5084	128	relu	mse
40	1	0.0900	0.1527	2.3013	0.1508	256	relu	mse
41	2	0.0855	0.1886	2.2316	0.2263	256	relu	mse
42	3	0.0809	0.2461	2.2049	0.2563	256	relu	mse
43	4	0.0787	0.2765	2.1872	0.2947	256	relu	mse
44	5	0.0764	0.3079	2.1759	0.3114	256	relu	mse
45	6	0.0740	0.3676	2.1337	0.4049	256	relu	mse
46	7	0.0701	0.4213	2.1068	0.4290	256	relu	mse
47	8	0.0664	0.4743	2.0990	0.4318	256	relu	mse
48	9	0.0638	0.4994	2.0755	0.4778	256	relu	mse
49	10	0.0617	0.5187	2.0577	0.4901	256	relu	mse
50	11	0.0601	0.5371	2.0596	0.4773	256	relu	mse
51	12	0.0585	0.5516	2.0358	0.5131	256	relu	mse
52	13	0.0566	0.5671	2.0286	0.4982	256	relu	mse
53	14	0.0555	0.5795	2.0229	0.5055	256	relu	mse
54	15	0.0537	0.5965	2.0227	0.5052	256	relu	mse
55	16	0.0520	0.6098	2.0001	0.5150	256	relu	mse
56	17	0.0510	0.6212	2.0102	0.5201	256	relu	mse
57	18	0.0495	0.6345	2.0034	0.5165	256	relu	mse
58	19	0.0485	0.6425	2.0019	0.5145	256	relu	mse
59	20	0.0470	0.6582	1.9950	0.5160	256	relu	mse
60	1	0.0900	0.1412	2.3025	0.1355	512	relu	mse
61	2	0.0873	0.1494	2.2635	0.1499	512	relu	mse
62	3	0.0850	0.1751	2.2299	0.2342	512	relu	mse
63	4	0.0808	0.2496	2.2039	0.2711	512	relu	mse
64	5	0.0787	0.2810	2.1967	0.2812	512	relu	mse
65	6	0.0770	0.3135	2.1822	0.3077	512	relu	mse
66	7	0.0757	0.3233	2.1650	0.3213	512	relu	mse
67	8	0.0739	0.3542	2.1697	0.3616	512	relu	mse
68	9	0.0731	0.3798	2.1673	0.3436	512	relu	mse
69	10	0.0718	0.4042	2.1319	0.3889	512	relu	mse
