	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0900	0.1508	2.3026	0.1567	64	relu	mse
1	2	0.0900	0.1615	2.3025	0.1619	64	relu	mse
2	3	0.0899	0.1617	2.3015	0.1508	64	relu	mse
3	4	0.0888	0.1485	2.2805	0.1535	64	relu	mse
4	5	0.0867	0.1673	2.2660	0.1742	64	relu	mse
5	6	0.0858	0.1895	2.2608	0.2056	64	relu	mse
6	7	0.0842	0.2213	2.2380	0.2406	64	relu	mse
7	8	0.0824	0.2548	2.2212	0.2807	64	relu	mse
8	9	0.0801	0.2982	2.2028	0.3135	64	relu	mse
9	10	0.0780	0.3169	2.1807	0.3248	64	relu	mse
10	11	0.0766	0.3307	2.1745	0.3428	64	relu	mse
11	12	0.0751	0.3569	2.1602	0.3708	64	relu	mse
12	13	0.0737	0.3802	2.1476	0.3832	64	relu	mse
13	14	0.0723	0.3950	2.1350	0.4006	64	relu	mse
14	15	0.0709	0.4110	2.1283	0.4136	64	relu	mse
15	16	0.0696	0.4275	2.1252	0.4204	64	relu	mse
16	17	0.0685	0.4389	2.1040	0.4310	64	relu	mse
17	18	0.0675	0.4506	2.1022	0.4281	64	relu	mse
18	19	0.0666	0.4600	2.0904	0.4421	64	relu	mse
19	20	0.0656	0.4712	2.0815	0.4430	64	relu	mse
20	1	0.0900	0.1634	2.3026	0.1594	128	relu	mse
21	2	0.0900	0.1530	2.3026	0.1525	128	relu	mse
22	3	0.0900	0.1486	2.3025	0.1527	128	relu	mse
23	4	0.0898	0.1474	2.2981	0.1453	128	relu	mse
24	5	0.0878	0.1486	2.2717	0.1549	128	relu	mse
25	6	0.0865	0.1555	2.2684	0.1582	128	relu	mse
26	7	0.0861	0.1609	2.2647	0.1590	128	relu	mse
27	8	0.0849	0.1818	2.2431	0.1949	128	relu	mse
28	9	0.0827	0.2046	2.2342	0.2062	128	relu	mse
29	10	0.0819	0.2137	2.2253	0.2154	128	relu	mse
30	11	0.0814	0.2233	2.2207	0.2260	128	relu	mse
31	12	0.0810	0.2245	2.2168	0.2213	128	relu	mse
32	13	0.0804	0.2240	2.2191	0.2223	128	relu	mse
33	14	0.0798	0.2356	2.2079	0.2358	128	relu	mse
34	15	0.0788	0.2509	2.1983	0.2626	128	relu	mse
35	16	0.0777	0.2780	2.1930	0.2935	128	relu	mse
36	17	0.0759	0.3155	2.1709	0.3230	128	relu	mse
37	18	0.0742	0.3354	2.1591	0.3325	128	relu	mse
38	19	0.0730	0.3516	2.1466	0.3556	128	relu	mse
39	20	0.0718	0.3669	2.1365	0.3594	128	relu	mse
40	1	0.0900	0.1506	2.3026	0.1651	256	relu	mse
41	2	0.0900	0.1639	2.3026	0.1617	256	relu	mse
42	3	0.0900	0.1625	2.3026	0.1652	256	relu	mse
43	4	0.0900	0.1540	2.3025	0.1494	256	relu	mse
44	5	0.0900	0.1455	2.3017	0.1498	256	relu	mse
45	6	0.0888	0.1554	2.2778	0.1641	256	relu	mse
46	7	0.0862	0.1717	2.2612	0.1779	256	relu	mse
47	8	0.0852	0.1800	2.2549	0.1795	256	relu	mse
48	9	0.0846	0.1971	2.2493	0.2368	256	relu	mse
49	10	0.0823	0.2555	2.2163	0.2643	256	relu	mse
50	11	0.0798	0.2666	2.2018	0.2677	256	relu	mse
51	12	0.0786	0.2756	2.2001	0.2709	256	relu	mse
52	13	0.0779	0.2802	2.1854	0.2804	256	relu	mse
53	14	0.0773	0.2851	2.1840	0.2888	256	relu	mse
54	15	0.0769	0.2882	2.1957	0.2738	256	relu	mse
55	16	0.0764	0.2874	2.1832	0.2827	256	relu	mse
56	17	0.0759	0.2916	2.1789	0.2797	256	relu	mse
57	18	0.0754	0.2949	2.1825	0.2775	256	relu	mse
58	19	0.0750	0.2963	2.1785	0.2754	256	relu	mse
59	20	0.0746	0.2977	2.1612	0.2859	256	relu	mse
60	1	0.0900	0.1496	2.3026	0.1581	512	relu	mse
61	2	0.0900	0.1563	2.3026	0.1481	512	relu	mse
62	3	0.0900	0.1432	2.3026	0.1371	512	relu	mse
63	4	0.0900	0.1371	2.3026	0.1326	512	relu	mse
64	5	0.0900	0.1344	2.3026	0.1363	512	relu	mse
65	6	0.0899	0.1390	2.3013	0.1446	512	relu	mse
66	7	0.0881	0.1504	2.2718	0.1564	512	relu	mse
67	8	0.0862	0.1538	2.2648	0.1545	512	relu	mse
68	9	0.0857	0.1551	2.2605	0.1580	512	relu	mse
69	10	0.0854	0.1602	2.2595	0.1655	512	relu	mse
70	11	0.0850	0.1634	2.2540	0.1682	512	relu	mse
71	12	0.0842	0.1784	2.2483	0.1798	512	relu	mse
72	13	0.0840	0.1806	2.2477	0.1762	512	relu	mse
73	14	0.0837	0.1824	2.2474	0.1843	512	relu	mse
74	15	0.0835	0.1899	2.2448	0.1899	512	relu	mse
75	16	0.0831	0.2036	2.2438	0.2003	512	relu	mse
