	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0851	0.2171	2.1879	0.3342	64	relu	mse
1	2	0.0748	0.3814	2.1252	0.4351	64	relu	mse
2	3	0.0700	0.4439	2.1003	0.4487	64	relu	mse
3	4	0.0675	0.4706	2.0741	0.4695	64	relu	mse
4	5	0.0654	0.4908	2.0727	0.4709	64	relu	mse
5	6	0.0637	0.5075	2.0733	0.4804	64	relu	mse
6	7	0.0625	0.5212	2.0774	0.4747	64	relu	mse
7	8	0.0615	0.5302	2.0396	0.4908	64	relu	mse
8	9	0.0603	0.5424	2.0618	0.4880	64	relu	mse
9	10	0.0593	0.5510	2.0636	0.4902	64	relu	mse
10	11	0.0587	0.5587	2.0330	0.4994	64	relu	mse
11	12	0.0579	0.5679	2.0404	0.4923	64	relu	mse
12	13	0.0572	0.5738	2.0282	0.4880	64	relu	mse
13	14	0.0566	0.5793	2.0216	0.4980	64	relu	mse
14	15	0.0556	0.5874	2.0126	0.5035	64	relu	mse
15	16	0.0551	0.5966	2.0294	0.5044	64	relu	mse
16	17	0.0550	0.5954	2.0455	0.4917	64	relu	mse
17	18	0.0543	0.6013	2.0465	0.4959	64	relu	mse
18	19	0.0537	0.6067	2.0409	0.4913	64	relu	mse
19	20	0.0535	0.6115	2.0353	0.4983	64	relu	mse
20	1	0.0866	0.1736	2.2297	0.2423	128	relu	mse
21	2	0.0786	0.3069	2.1467	0.3863	128	relu	mse
22	3	0.0713	0.4202	2.1103	0.4592	128	relu	mse
23	4	0.0669	0.4733	2.0727	0.4606	128	relu	mse
24	5	0.0645	0.5023	2.0619	0.4869	128	relu	mse
25	6	0.0627	0.5207	2.0647	0.4797	128	relu	mse
26	7	0.0606	0.5389	2.0488	0.4895	128	relu	mse
27	8	0.0590	0.5522	2.0348	0.5049	128	relu	mse
28	9	0.0578	0.5671	2.0327	0.5071	128	relu	mse
29	10	0.0568	0.5767	2.0346	0.5061	128	relu	mse
30	11	0.0555	0.5882	2.0219	0.5147	128	relu	mse
31	12	0.0547	0.5980	2.0248	0.5153	128	relu	mse
32	13	0.0537	0.6063	2.0124	0.5213	128	relu	mse
33	14	0.0526	0.6159	2.0171	0.5226	128	relu	mse
34	15	0.0520	0.6205	2.0114	0.5082	128	relu	mse
35	16	0.0513	0.6285	2.0033	0.5166	128	relu	mse
36	17	0.0505	0.6343	2.0160	0.5190	128	relu	mse
37	18	0.0501	0.6390	1.9827	0.5189	128	relu	mse
38	19	0.0497	0.6443	2.0071	0.5178	128	relu	mse
39	20	0.0488	0.6520	2.0079	0.5158	128	relu	mse
40	1	0.0875	0.1698	2.2314	0.2325	256	relu	mse
