	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0887	0.1611	2.2589	0.1993	64	relu	mse
1	2	0.0813	0.2610	2.2050	0.2966	64	relu	mse
2	3	0.0753	0.3603	2.1365	0.4031	64	relu	mse
3	4	0.0706	0.4264	2.1173	0.4418	64	relu	mse
4	5	0.0674	0.4639	2.0811	0.4579	64	relu	mse
5	6	0.0652	0.4880	2.0864	0.4649	64	relu	mse
6	7	0.0634	0.5060	2.0571	0.4791	64	relu	mse
7	8	0.0616	0.5250	2.0526	0.4854	64	relu	mse
8	9	0.0604	0.5361	2.0526	0.4868	64	relu	mse
9	10	0.0592	0.5477	2.0405	0.4947	64	relu	mse
10	11	0.0581	0.5602	2.0271	0.4992	64	relu	mse
11	12	0.0570	0.5686	2.0300	0.5046	64	relu	mse
12	13	0.0561	0.5774	2.0336	0.4957	64	relu	mse
13	14	0.0552	0.5892	2.0269	0.5016	64	relu	mse
14	15	0.0544	0.5952	2.0089	0.5061	64	relu	mse
15	16	0.0534	0.6037	2.0194	0.5093	64	relu	mse
16	17	0.0530	0.6078	2.0183	0.5068	64	relu	mse
17	18	0.0520	0.6158	2.0155	0.5014	64	relu	mse
18	19	0.0515	0.6202	2.0296	0.4980	64	relu	mse
19	20	0.0509	0.6258	2.0152	0.4988	64	relu	mse
20	1	0.0891	0.1532	2.2685	0.1557	128	relu	mse
21	2	0.0842	0.1990	2.2249	0.2259	128	relu	mse
22	3	0.0787	0.2942	2.1622	0.3480	128	relu	mse
23	4	0.0728	0.3823	2.1219	0.4201	128	relu	mse
24	5	0.0688	0.4392	2.0956	0.4318	128	relu	mse
25	6	0.0657	0.4729	2.0846	0.4607	128	relu	mse
26	7	0.0631	0.5048	2.0724	0.4648	128	relu	mse
27	8	0.0611	0.5228	2.0420	0.4937	128	relu	mse
28	9	0.0594	0.5404	2.0442	0.4913	128	relu	mse
29	10	0.0576	0.5598	2.0422	0.4843	128	relu	mse
30	11	0.0563	0.5738	2.0100	0.5106	128	relu	mse
31	12	0.0550	0.5841	2.0222	0.5105	128	relu	mse
32	13	0.0538	0.5966	2.0050	0.5098	128	relu	mse
33	14	0.0523	0.6094	2.0182	0.5200	128	relu	mse
34	15	0.0511	0.6203	2.0167	0.4965	128	relu	mse
35	16	0.0499	0.6337	2.0085	0.5111	128	relu	mse
36	17	0.0490	0.6412	2.0112	0.5186	128	relu	mse
37	18	0.0476	0.6531	1.9970	0.5083	128	relu	mse
38	19	0.0467	0.6617	1.9974	0.5164	128	relu	mse
39	20	0.0459	0.6699	1.9902	0.5205	128	relu	mse
40	1	0.0898	0.1530	2.2811	0.1706	256	relu	mse
41	2	0.0842	0.2048	2.2204	0.2670	256	relu	mse
42	3	0.0799	0.2767	2.1986	0.2910	256	relu	mse
43	4	0.0765	0.3227	2.1642	0.3402	256	relu	mse
44	5	0.0723	0.3919	2.1285	0.4166	256	relu	mse
45	6	0.0690	0.4414	2.1111	0.4525	256	relu	mse
46	7	0.0661	0.4745	2.0785	0.4714	256	relu	mse
47	8	0.0633	0.5060	2.0644	0.4860	256	relu	mse
48	9	0.0612	0.5257	2.0524	0.4977	256	relu	mse
49	10	0.0595	0.5424	2.0312	0.5060	256	relu	mse
50	11	0.0578	0.5581	2.0297	0.4985	256	relu	mse
51	12	0.0560	0.5759	2.0280	0.5137	256	relu	mse
52	13	0.0544	0.5908	2.0252	0.5086	256	relu	mse
53	14	0.0533	0.6008	2.0198	0.5100	256	relu	mse
54	15	0.0520	0.6148	2.0090	0.5171	256	relu	mse
55	16	0.0508	0.6251	2.0049	0.5219	256	relu	mse
56	17	0.0493	0.6384	2.0010	0.5249	256	relu	mse
57	18	0.0480	0.6507	1.9789	0.5263	256	relu	mse
58	19	0.0469	0.6575	1.9969	0.5295	256	relu	mse
59	20	0.0458	0.6678	1.9894	0.5365	256	relu	mse
60	1	0.0900	0.1420	2.3013	0.1460	512	relu	mse
61	2	0.0865	0.1590	2.2605	0.1689	512	relu	mse
62	3	0.0842	0.1994	2.2421	0.2134	512	relu	mse
63	4	0.0830	0.2152	2.2373	0.2094	512	relu	mse
64	5	0.0829	0.2073	2.2412	0.1858	512	relu	mse
65	6	0.0819	0.2224	2.2188	0.2728	512	relu	mse
66	7	0.0775	0.3167	2.1843	0.3261	512	relu	mse
67	8	0.0746	0.3530	2.1703	0.3596	512	relu	mse
68	9	0.0734	0.3858	2.1605	0.3764	512	relu	mse
69	10	0.0712	0.4230	2.1379	0.3979	512	relu	mse
70	11	0.0694	0.4411	2.1102	0.4457	512	relu	mse
71	12	0.0682	0.4534	2.1169	0.4191	512	relu	mse
72	13	0.0668	0.4704	2.0861	0.4471	512	relu	mse
73	14	0.0647	0.4928	2.1011	0.4542	512	relu	mse
74	15	0.0634	0.5059	2.0742	0.4731	512	relu	mse
75	16	0.0621	0.5166	2.0777	0.4545	512	relu	mse
76	17	0.0612	0.5248	2.0561	0.4710	512	relu	mse
77	18	0.0598	0.5372	2.0457	0.4923	512	relu	mse
78	19	0.0573	0.5639	2.0479	0.5022	512	relu	mse
79	20	0.0559	0.5777	2.0322	0.4999	512	relu	mse
80	1	0.0900	0.1409	2.2994	0.1441	1024	relu	mse
81	2	0.0854	0.1800	2.2480	0.1805	1024	relu	mse
82	3	0.0834	0.1978	2.2390	0.1935	1024	relu	mse
83	4	0.0834	0.1914	2.2298	0.2042	1024	relu	mse
84	5	0.0829	0.2019	2.2364	0.2212	1024	relu	mse
85	6	0.0824	0.2206	2.2361	0.2192	1024	relu	mse
86	7	0.0820	0.2350	2.2211	0.2554	1024	relu	mse
87	8	0.0803	0.2777	2.2025	0.2872	1024	relu	mse
88	9	0.0778	0.3070	2.1868	0.3097	1024	relu	mse
89	10	0.0755	0.3432	2.1495	0.3640	1024	relu	mse
90	11	0.0733	0.3865	2.1410	0.3779	1024	relu	mse
91	12	0.0722	0.3934	2.1373	0.3781	1024	relu	mse
92	13	0.0715	0.3958	2.1298	0.4243	1024	relu	mse
93	14	0.0686	0.4450	2.0940	0.4534	1024	relu	mse
94	15	0.0668	0.4648	2.0755	0.4638	1024	relu	mse
95	16	0.0654	0.4777	2.1015	0.4521	1024	relu	mse
96	17	0.0657	0.4730	2.0668	0.4607	1024	relu	mse
97	18	0.0638	0.4922	2.0902	0.4453	1024	relu	mse
98	19	0.0626	0.5086	2.0692	0.4656	1024	relu	mse
99	20	0.0628	0.5034	2.0551	0.4875	1024	relu	mse
100	1	0.0891	0.1584	2.2732	0.1654	2048	relu	mse
101	2	0.0861	0.1587	2.2645	0.1640	2048	relu	mse
102	3	0.0855	0.1727	2.2473	0.1933	2048	relu	mse
103	4	0.0855	0.1835	2.2522	0.1915	2048	relu	mse
104	5	0.0852	0.1881	2.2590	0.1881	2048	relu	mse
105	6	0.0850	0.1824	2.2463	0.1900	2048	relu	mse
106	7	0.0844	0.1976	2.2484	0.2103	2048	relu	mse
107	8	0.0828	0.2316	2.2181	0.2561	2048	relu	mse
108	9	0.0819	0.2506	2.2262	0.2617	2048	relu	mse
109	10	0.0808	0.2796	2.2034	0.3124	2048	relu	mse
110	11	0.0792	0.3000	2.1891	0.3245	2048	relu	mse
111	12	0.0779	0.3240	2.1892	0.3562	2048	relu	mse
112	13	0.0769	0.3467	2.1941	0.3385	2048	relu	mse
113	14	0.0756	0.3641	2.1963	0.3043	2048	relu	mse
114	15	0.0749	0.3658	2.1774	0.3422	2048	relu	mse
115	16	0.0742	0.3687	2.1617	0.3634	2048	relu	mse
116	17	0.0721	0.4001	2.1303	0.4022	2048	relu	mse
117	18	0.0742	0.3654	2.2240	0.2387	2048	relu	mse
118	19	0.0800	0.2692	2.2097	0.2680	2048	relu	mse
119	20	0.0775	0.3143	2.1821	0.3309	2048	relu	mse
