	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0839	0.2354	2.1743	0.3607	64	relu	mse
1	2	0.0741	0.3975	2.1273	0.4294	64	relu	mse
2	3	0.0700	0.4468	2.1031	0.4549	64	relu	mse
3	4	0.0677	0.4727	2.0827	0.4696	64	relu	mse
4	5	0.0661	0.4914	2.0657	0.4736	64	relu	mse
5	6	0.0649	0.5044	2.0852	0.4715	64	relu	mse
6	7	0.0638	0.5154	2.0726	0.4778	64	relu	mse
7	8	0.0627	0.5256	2.0399	0.4901	64	relu	mse
8	9	0.0619	0.5325	2.0476	0.4894	64	relu	mse
9	10	0.0610	0.5422	2.0546	0.4839	64	relu	mse
10	11	0.0602	0.5500	2.0325	0.5010	64	relu	mse
11	12	0.0594	0.5585	2.0476	0.4952	64	relu	mse
12	13	0.0592	0.5605	2.0248	0.4904	64	relu	mse
13	14	0.0586	0.5662	2.0594	0.4949	64	relu	mse
14	15	0.0579	0.5740	2.0506	0.4969	64	relu	mse
15	16	0.0575	0.5773	2.0462	0.4940	64	relu	mse
16	17	0.0570	0.5818	2.0201	0.4904	64	relu	mse
17	18	0.0573	0.5829	2.0432	0.4906	64	relu	mse
18	19	0.0562	0.5909	2.0363	0.4939	64	relu	mse
19	20	0.0566	0.5874	2.0439	0.4955	64	relu	mse
20	1	0.0855	0.1946	2.1899	0.3182	128	relu	mse
21	2	0.0750	0.3779	2.1233	0.4231	128	relu	mse
22	3	0.0698	0.4462	2.1039	0.4663	128	relu	mse
23	4	0.0668	0.4803	2.0684	0.4690	128	relu	mse
24	5	0.0647	0.5018	2.0761	0.4892	128	relu	mse
25	6	0.0629	0.5194	2.0719	0.4883	128	relu	mse
26	7	0.0613	0.5362	2.0728	0.4860	128	relu	mse
27	8	0.0601	0.5487	2.0708	0.4934	128	relu	mse
28	9	0.0594	0.5578	2.0440	0.5086	128	relu	mse
29	10	0.0576	0.5740	2.0393	0.4976	128	relu	mse
30	11	0.0572	0.5795	2.0367	0.5034	128	relu	mse
31	12	0.0567	0.5856	2.0120	0.5002	128	relu	mse
32	13	0.0563	0.5885	2.0307	0.5102	128	relu	mse
33	14	0.0553	0.5979	2.0255	0.5034	128	relu	mse
34	15	0.0546	0.6034	2.0216	0.4931	128	relu	mse
35	16	0.0543	0.6102	2.0311	0.5099	128	relu	mse
36	17	0.0540	0.6127	2.0391	0.5107	128	relu	mse
37	18	0.0539	0.6130	2.0132	0.5082	128	relu	mse
38	19	0.0536	0.6175	2.0353	0.5109	128	relu	mse
