	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0895	0.1537	2.2750	0.1611	64	relu	mse
1	2	0.0841	0.2244	2.2195	0.2796	64	relu	mse
2	3	0.0781	0.3134	2.1645	0.3586	64	relu	mse
3	4	0.0736	0.3888	2.1365	0.4121	64	relu	mse
4	5	0.0699	0.4327	2.1029	0.4468	64	relu	mse
5	6	0.0673	0.4620	2.0990	0.4556	64	relu	mse
6	7	0.0653	0.4866	2.0827	0.4632	64	relu	mse
7	8	0.0636	0.5043	2.0650	0.4784	64	relu	mse
8	9	0.0621	0.5153	2.0676	0.4826	64	relu	mse
9	10	0.0607	0.5316	2.0485	0.4997	64	relu	mse
10	11	0.0597	0.5422	2.0420	0.4921	64	relu	mse
11	12	0.0585	0.5535	2.0519	0.4978	64	relu	mse
12	13	0.0576	0.5625	2.0336	0.5034	64	relu	mse
13	14	0.0566	0.5724	2.0264	0.5039	64	relu	mse
14	15	0.0558	0.5808	2.0191	0.5051	64	relu	mse
15	16	0.0548	0.5883	2.0297	0.5069	64	relu	mse
16	17	0.0542	0.5955	2.0240	0.5034	64	relu	mse
17	18	0.0533	0.6029	2.0128	0.5008	64	relu	mse
18	19	0.0526	0.6112	2.0238	0.5052	64	relu	mse
19	20	0.0518	0.6169	2.0209	0.5035	64	relu	mse
20	1	0.0899	0.1522	2.2898	0.1432	128	relu	mse
21	2	0.0857	0.1699	2.2322	0.2100	128	relu	mse
22	3	0.0820	0.2233	2.2105	0.2555	128	relu	mse
23	4	0.0792	0.2643	2.1814	0.3026	128	relu	mse
24	5	0.0757	0.3217	2.1502	0.3405	128	relu	mse
25	6	0.0731	0.3519	2.1363	0.3684	128	relu	mse
26	7	0.0710	0.3771	2.1340	0.3677	128	relu	mse
27	8	0.0694	0.3916	2.1084	0.3841	128	relu	mse
28	9	0.0679	0.4046	2.0999	0.3902	128	relu	mse
29	10	0.0664	0.4194	2.0949	0.3965	128	relu	mse
30	11	0.0654	0.4417	2.0914	0.4087	128	relu	mse
31	12	0.0640	0.4533	2.0876	0.4032	128	relu	mse
32	13	0.0630	0.4636	2.0747	0.4211	128	relu	mse
33	14	0.0616	0.4763	2.0730	0.4173	128	relu	mse
34	15	0.0608	0.4837	2.0611	0.4244	128	relu	mse
35	16	0.0594	0.5014	2.0595	0.4481	128	relu	mse
36	17	0.0577	0.5260	2.0569	0.4616	128	relu	mse
37	18	0.0560	0.5503	2.0232	0.4893	128	relu	mse
38	19	0.0547	0.5660	2.0364	0.4718	128	relu	mse
39	20	0.0530	0.5895	2.0124	0.5043	128	relu	mse
40	1	0.0900	0.1545	2.3025	0.1486	256	relu	mse
41	2	0.0871	0.1667	2.2540	0.1900	256	relu	mse
42	3	0.0818	0.2489	2.2030	0.2894	256	relu	mse
43	4	0.0780	0.3058	2.1792	0.3112	256	relu	mse
44	5	0.0760	0.3272	2.1699	0.3377	256	relu	mse
45	6	0.0743	0.3501	2.1534	0.3538	256	relu	mse
46	7	0.0714	0.3893	2.1337	0.3772	256	relu	mse
47	8	0.0685	0.4280	2.0960	0.4429	256	relu	mse
48	9	0.0663	0.4586	2.1016	0.4387	256	relu	mse
49	10	0.0643	0.4806	2.0830	0.4630	256	relu	mse
50	11	0.0619	0.5083	2.0550	0.4690	256	relu	mse
51	12	0.0600	0.5278	2.0585	0.4781	256	relu	mse
52	13	0.0584	0.5467	2.0438	0.4882	256	relu	mse
53	14	0.0567	0.5631	2.0256	0.4976	256	relu	mse
54	15	0.0554	0.5786	2.0285	0.5046	256	relu	mse
55	16	0.0540	0.5892	2.0246	0.4994	256	relu	mse
56	17	0.0522	0.6062	2.0173	0.5109	256	relu	mse
57	18	0.0509	0.6164	2.0192	0.4922	256	relu	mse
58	19	0.0500	0.6275	1.9948	0.5190	256	relu	mse
59	20	0.0485	0.6391	2.0031	0.5149	256	relu	mse
60	1	0.0900	0.1419	2.3026	0.1328	512	relu	mse
61	2	0.0882	0.1469	2.2665	0.1644	512	relu	mse
62	3	0.0853	0.1753	2.2518	0.1971	512	relu	mse
63	4	0.0835	0.2153	2.2385	0.2230	512	relu	mse
64	5	0.0827	0.2240	2.2371	0.2116	512	relu	mse
65	6	0.0825	0.2158	2.2341	0.2271	512	relu	mse
66	7	0.0822	0.2116	2.2438	0.1898	512	relu	mse
67	8	0.0812	0.2262	2.2235	0.2206	512	relu	mse
68	9	0.0801	0.2550	2.2087	0.2752	512	relu	mse
69	10	0.0774	0.2972	2.1951	0.2933	512	relu	mse
70	11	0.0762	0.3160	2.1772	0.3161	512	relu	mse
71	12	0.0743	0.3362	2.1708	0.3139	512	relu	mse
72	13	0.0730	0.3502	2.1499	0.3431	512	relu	mse
73	14	0.0716	0.3752	2.1453	0.3797	512	relu	mse
74	15	0.0702	0.4010	2.1284	0.3768	512	relu	mse
75	16	0.0686	0.4184	2.1122	0.3972	512	relu	mse
76	17	0.0673	0.4280	2.1009	0.4010	512	relu	mse
77	18	0.0659	0.4418	2.0970	0.4129	512	relu	mse
78	19	0.0648	0.4586	2.0958	0.4024	512	relu	mse
79	20	0.0638	0.4660	2.1010	0.4090	512	relu	mse
80	1	0.0900	0.1435	2.3026	0.1430	1024	relu	mse
81	2	0.0874	0.1555	2.2429	0.1836	1024	relu	mse
82	3	0.0835	0.2052	2.2329	0.2051	1024	relu	mse
83	4	0.0825	0.2033	2.2369	0.1920	1024	relu	mse
84	5	0.0822	0.2028	2.2336	0.1929	1024	relu	mse
85	6	0.0820	0.2057	2.2288	0.2058	1024	relu	mse
86	7	0.0818	0.2074	2.2302	0.1916	1024	relu	mse
87	8	0.0819	0.2144	2.2257	0.2220	1024	relu	mse
88	9	0.0814	0.2308	2.2230	0.2459	1024	relu	mse
89	10	0.0818	0.2333	2.2306	0.2269	1024	relu	mse
90	11	0.0814	0.2456	2.2302	0.2278	1024	relu	mse
91	12	0.0806	0.2558	2.2055	0.2739	1024	relu	mse
92	13	0.0795	0.2789	2.1981	0.2897	1024	relu	mse
93	14	0.0780	0.3015	2.1874	0.3179	1024	relu	mse
94	15	0.0760	0.3357	2.1635	0.3536	1024	relu	mse
95	16	0.0740	0.3620	2.1524	0.3862	1024	relu	mse
96	17	0.0718	0.3997	2.1445	0.3814	1024	relu	mse
97	18	0.0704	0.4140	2.1233	0.4142	1024	relu	mse
98	19	0.0688	0.4398	2.0999	0.4290	1024	relu	mse
99	20	0.0664	0.4668	2.0898	0.4519	1024	relu	mse
100	1	0.0898	0.1577	2.2738	0.1589	2048	relu	mse
101	2	0.0866	0.1602	2.2678	0.1721	2048	relu	mse
102	3	0.0862	0.1651	2.2662	0.1698	2048	relu	mse
103	4	0.0854	0.1538	2.2572	0.1530	2048	relu	mse
104	5	0.0845	0.1952	2.2475	0.1997	2048	relu	mse
105	6	0.0845	0.1988	2.2529	0.1955	2048	relu	mse
106	7	0.0845	0.1952	2.2557	0.1939	2048	relu	mse
107	8	0.0854	0.1807	2.2507	0.1824	2048	relu	mse
108	9	0.0847	0.1865	2.2447	0.1920	2048	relu	mse
109	10	0.0840	0.1925	2.2425	0.1994	2048	relu	mse
110	11	0.0830	0.2100	2.2308	0.2228	2048	relu	mse
111	12	0.0823	0.2243	2.2278	0.2337	2048	relu	mse
112	13	0.0814	0.2407	2.2200	0.2495	2048	relu	mse
113	14	0.0805	0.2560	2.2209	0.2546	2048	relu	mse
114	15	0.0802	0.2736	2.2194	0.2664	2048	relu	mse
115	16	0.0788	0.3032	2.1899	0.3189	2048	relu	mse
116	17	0.0777	0.3267	2.1701	0.3539	2048	relu	mse
117	18	0.0760	0.3510	2.1721	0.3578	2048	relu	mse
118	19	0.0758	0.3511	2.1849	0.3355	2048	relu	mse
119	20	0.0756	0.3519	2.1615	0.3671	2048	relu	mse
