	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0864	0.1973	2.2101	0.2733	64	relu	mse
1	2	0.0773	0.3260	2.1512	0.4085	64	relu	mse
2	3	0.0712	0.4271	2.0988	0.4466	64	relu	mse
3	4	0.0679	0.4632	2.0928	0.4552	64	relu	mse
4	5	0.0656	0.4861	2.0766	0.4659	64	relu	mse
5	6	0.0640	0.5048	2.0793	0.4731	64	relu	mse
6	7	0.0626	0.5196	2.0724	0.4853	64	relu	mse
7	8	0.0610	0.5355	2.0486	0.4929	64	relu	mse
8	9	0.0599	0.5448	2.0403	0.4881	64	relu	mse
9	10	0.0588	0.5561	2.0436	0.4945	64	relu	mse
10	11	0.0578	0.5669	2.0358	0.4937	64	relu	mse
11	12	0.0570	0.5759	2.0492	0.4996	64	relu	mse
12	13	0.0562	0.5829	2.0161	0.5027	64	relu	mse
13	14	0.0553	0.5878	2.0181	0.5020	64	relu	mse
14	15	0.0546	0.5970	2.0256	0.5013	64	relu	mse
15	16	0.0538	0.6047	2.0221	0.5040	64	relu	mse
16	17	0.0531	0.6116	2.0409	0.4998	64	relu	mse
17	18	0.0526	0.6158	2.0228	0.4990	64	relu	mse
18	19	0.0521	0.6207	2.0222	0.4967	64	relu	mse
19	20	0.0515	0.6278	2.0209	0.5009	64	relu	mse
20	1	0.0876	0.1637	2.2322	0.2178	128	relu	mse
21	2	0.0795	0.2894	2.1513	0.3593	128	relu	mse
22	3	0.0721	0.4014	2.1158	0.4405	128	relu	mse
23	4	0.0677	0.4601	2.0804	0.4397	128	relu	mse
24	5	0.0648	0.4931	2.0694	0.4750	128	relu	mse
25	6	0.0626	0.5152	2.0715	0.4752	128	relu	mse
26	7	0.0607	0.5337	2.0482	0.4904	128	relu	mse
27	8	0.0592	0.5480	2.0346	0.5046	128	relu	mse
28	9	0.0575	0.5660	2.0445	0.4954	128	relu	mse
29	10	0.0563	0.5784	2.0354	0.5003	128	relu	mse
30	11	0.0550	0.5902	2.0168	0.5126	128	relu	mse
31	12	0.0534	0.6055	2.0156	0.5077	128	relu	mse
32	13	0.0525	0.6119	1.9980	0.5126	128	relu	mse
33	14	0.0511	0.6258	2.0089	0.5210	128	relu	mse
34	15	0.0503	0.6344	2.0008	0.5139	128	relu	mse
35	16	0.0491	0.6449	1.9979	0.5150	128	relu	mse
36	17	0.0483	0.6518	2.0191	0.5104	128	relu	mse
37	18	0.0477	0.6576	1.9985	0.5163	128	relu	mse
38	19	0.0468	0.6650	1.9840	0.5192	128	relu	mse
39	20	0.0459	0.6754	1.9981	0.5115	128	relu	mse
40	1	0.0886	0.1580	2.2566	0.1974	256	relu	mse
41	2	0.0821	0.2395	2.2074	0.2630	256	relu	mse
42	3	0.0777	0.3138	2.1620	0.3755	256	relu	mse
43	4	0.0720	0.4086	2.1217	0.4335	256	relu	mse
44	5	0.0680	0.4559	2.0781	0.4758	256	relu	mse
45	6	0.0648	0.4891	2.0673	0.4783	256	relu	mse
46	7	0.0626	0.5147	2.0509	0.4865	256	relu	mse
47	8	0.0604	0.5371	2.0312	0.5088	256	relu	mse
48	9	0.0585	0.5537	2.0398	0.5186	256	relu	mse
49	10	0.0571	0.5687	2.0231	0.5135	256	relu	mse
50	11	0.0554	0.5831	2.0218	0.5104	256	relu	mse
51	12	0.0540	0.5974	2.0132	0.5213	256	relu	mse
52	13	0.0529	0.6086	2.0227	0.5140	256	relu	mse
53	14	0.0515	0.6209	1.9989	0.5226	256	relu	mse
54	15	0.0505	0.6317	2.0155	0.5253	256	relu	mse
55	16	0.0498	0.6399	1.9825	0.5296	256	relu	mse
56	17	0.0479	0.6553	1.9974	0.5303	256	relu	mse
57	18	0.0480	0.6549	1.9778	0.5325	256	relu	mse
58	19	0.0465	0.6679	1.9948	0.5315	256	relu	mse
59	20	0.0454	0.6782	1.9860	0.5282	256	relu	mse
60	1	0.0889	0.1453	2.2700	0.1577	512	relu	mse
61	2	0.0853	0.1873	2.2490	0.2057	512	relu	mse
62	3	0.0838	0.2188	2.2408	0.2253	512	relu	mse
63	4	0.0824	0.2480	2.2158	0.2721	512	relu	mse
64	5	0.0783	0.3326	2.1720	0.3599	512	relu	mse
65	6	0.0750	0.3651	2.1515	0.3949	512	relu	mse
66	7	0.0722	0.4029	2.1197	0.4217	512	relu	mse
67	8	0.0691	0.4428	2.0994	0.4472	512	relu	mse
68	9	0.0664	0.4745	2.0938	0.4510	512	relu	mse
69	10	0.0647	0.4911	2.0661	0.4718	512	relu	mse
70	11	0.0634	0.5026	2.1178	0.4302	512	relu	mse
71	12	0.0644	0.4871	2.0619	0.4745	512	relu	mse
72	13	0.0625	0.5138	2.0631	0.4732	512	relu	mse
73	14	0.0608	0.5298	2.0794	0.4702	512	relu	mse
74	15	0.0602	0.5393	2.0525	0.5110	512	relu	mse
75	16	0.0597	0.5425	2.0887	0.4496	512	relu	mse
76	17	0.0605	0.5319	2.0707	0.4635	512	relu	mse
