	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0875	0.1815	2.2271	0.2742	64	relu	mse
1	2	0.0780	0.3204	2.1594	0.3804	64	relu	mse
2	3	0.0723	0.4056	2.1070	0.4366	64	relu	mse
3	4	0.0685	0.4545	2.0920	0.4636	64	relu	mse
4	5	0.0661	0.4797	2.0686	0.4638	64	relu	mse
5	6	0.0643	0.4987	2.0803	0.4743	64	relu	mse
6	7	0.0626	0.5177	2.0594	0.4776	64	relu	mse
7	8	0.0613	0.5301	2.0535	0.4916	64	relu	mse
8	9	0.0600	0.5426	2.0499	0.4954	64	relu	mse
9	10	0.0587	0.5539	2.0334	0.5022	64	relu	mse
10	11	0.0576	0.5652	2.0341	0.5050	64	relu	mse
11	12	0.0567	0.5723	2.0461	0.4883	64	relu	mse
12	13	0.0560	0.5812	2.0155	0.5062	64	relu	mse
13	14	0.0552	0.5876	2.0232	0.4998	64	relu	mse
14	15	0.0546	0.5943	2.0266	0.5011	64	relu	mse
15	16	0.0537	0.6021	2.0367	0.5043	64	relu	mse
16	17	0.0532	0.6076	2.0333	0.5020	64	relu	mse
17	18	0.0524	0.6139	2.0218	0.5053	64	relu	mse
18	19	0.0520	0.6178	2.0215	0.5010	64	relu	mse
19	20	0.0513	0.6270	2.0142	0.5052	64	relu	mse
20	1	0.0883	0.1563	2.2491	0.1921	128	relu	mse
21	2	0.0819	0.2305	2.2030	0.2677	128	relu	mse
22	3	0.0769	0.3190	2.1547	0.3572	128	relu	mse
23	4	0.0733	0.3667	2.1271	0.3767	128	relu	mse
24	5	0.0705	0.4025	2.1020	0.4339	128	relu	mse
25	6	0.0659	0.4722	2.0831	0.4787	128	relu	mse
26	7	0.0627	0.5100	2.0565	0.4894	128	relu	mse
27	8	0.0608	0.5306	2.0290	0.5072	128	relu	mse
28	9	0.0588	0.5502	2.0502	0.4994	128	relu	mse
29	10	0.0573	0.5650	2.0315	0.4860	128	relu	mse
30	11	0.0557	0.5814	2.0197	0.5048	128	relu	mse
31	12	0.0545	0.5918	2.0131	0.5098	128	relu	mse
32	13	0.0531	0.6047	1.9989	0.5216	128	relu	mse
33	14	0.0517	0.6164	1.9990	0.5240	128	relu	mse
34	15	0.0507	0.6279	1.9865	0.5104	128	relu	mse
35	16	0.0498	0.6352	1.9983	0.5191	128	relu	mse
36	17	0.0488	0.6446	2.0031	0.5258	128	relu	mse
37	18	0.0478	0.6542	1.9927	0.5226	128	relu	mse
38	19	0.0467	0.6638	1.9857	0.5213	128	relu	mse
39	20	0.0459	0.6709	2.0061	0.5158	128	relu	mse
40	1	0.0890	0.1572	2.2652	0.1764	256	relu	mse
41	2	0.0843	0.2121	2.2257	0.2728	256	relu	mse
42	3	0.0794	0.2890	2.1786	0.3435	256	relu	mse
43	4	0.0740	0.3848	2.1284	0.4240	256	relu	mse
44	5	0.0693	0.4403	2.1034	0.4472	256	relu	mse
45	6	0.0662	0.4756	2.1007	0.4738	256	relu	mse
46	7	0.0636	0.5030	2.0571	0.4781	256	relu	mse
47	8	0.0616	0.5208	2.0477	0.5047	256	relu	mse
48	9	0.0594	0.5447	2.0414	0.5126	256	relu	mse
49	10	0.0577	0.5596	2.0141	0.5280	256	relu	mse
50	11	0.0560	0.5764	2.0151	0.5096	256	relu	mse
51	12	0.0545	0.5879	1.9997	0.5255	256	relu	mse
52	13	0.0529	0.6050	2.0278	0.5100	256	relu	mse
53	14	0.0516	0.6168	1.9904	0.5309	256	relu	mse
54	15	0.0504	0.6291	1.9973	0.5324	256	relu	mse
55	16	0.0491	0.6391	1.9941	0.5334	256	relu	mse
56	17	0.0481	0.6484	2.0152	0.5205	256	relu	mse
57	18	0.0473	0.6567	1.9913	0.5264	256	relu	mse
58	19	0.0465	0.6629	1.9836	0.5393	256	relu	mse
59	20	0.0450	0.6767	1.9760	0.5318	256	relu	mse
60	1	0.0893	0.1453	2.2723	0.1541	512	relu	mse
61	2	0.0854	0.1771	2.2477	0.2050	512	relu	mse
62	3	0.0837	0.2144	2.2349	0.2231	512	relu	mse
63	4	0.0805	0.2663	2.2013	0.2838	512	relu	mse
64	5	0.0785	0.3043	2.1854	0.3344	512	relu	mse
65	6	0.0756	0.3626	2.1537	0.3777	512	relu	mse
66	7	0.0731	0.3957	2.1352	0.4153	512	relu	mse
67	8	0.0696	0.4423	2.1059	0.4495	512	relu	mse
68	9	0.0671	0.4638	2.0806	0.4561	512	relu	mse
69	10	0.0649	0.4893	2.0625	0.4830	512	relu	mse
70	11	0.0630	0.5071	2.0684	0.4845	512	relu	mse
71	12	0.0614	0.5233	2.0432	0.4952	512	relu	mse
72	13	0.0595	0.5405	2.0349	0.5016	512	relu	mse
73	14	0.0585	0.5543	2.0392	0.5046	512	relu	mse
74	15	0.0573	0.5645	2.0363	0.5149	512	relu	mse
75	16	0.0559	0.5785	2.0252	0.4980	512	relu	mse
76	17	0.0549	0.5898	2.0108	0.5047	512	relu	mse
77	18	0.0534	0.6036	2.0133	0.5126	512	relu	mse
78	19	0.0519	0.6196	2.0012	0.5279	512	relu	mse
79	20	0.0505	0.6302	1.9979	0.5234	512	relu	mse
80	1	0.0892	0.1463	2.2724	0.1729	1024	relu	mse
81	2	0.0863	0.1649	2.2644	0.1568	1024	relu	mse
82	3	0.0860	0.1709	2.2601	0.1765	1024	relu	mse
83	4	0.0850	0.1839	2.2534	0.1958	1024	relu	mse
84	5	0.0844	0.1901	2.2520	0.1797	1024	relu	mse
85	6	0.0834	0.2004	2.2364	0.2117	1024	relu	mse
86	7	0.0823	0.2246	2.2211	0.2559	1024	relu	mse
87	8	0.0806	0.2687	2.2028	0.3012	1024	relu	mse
88	9	0.0774	0.3279	2.1697	0.3643	1024	relu	mse
89	10	0.0751	0.3670	2.1604	0.3564	1024	relu	mse
90	11	0.0725	0.3902	2.1466	0.3818	1024	relu	mse
91	12	0.0715	0.3975	2.1148	0.4411	1024	relu	mse
92	13	0.0694	0.4241	2.0931	0.4383	1024	relu	mse
93	14	0.0683	0.4450	2.0995	0.4510	1024	relu	mse
94	15	0.0671	0.4571	2.1324	0.3661	1024	relu	mse
95	16	0.0677	0.4562	2.0980	0.4639	1024	relu	mse
96	17	0.0663	0.4734	2.0671	0.4674	1024	relu	mse
97	18	0.0660	0.4704	2.1055	0.4384	1024	relu	mse
98	19	0.0649	0.4808	2.0775	0.4651	1024	relu	mse
99	20	0.0628	0.5006	2.0863	0.4340	1024	relu	mse
100	1	0.0887	0.1543	2.2790	0.1425	2048	relu	mse
101	2	0.0866	0.1527	2.2773	0.1661	2048	relu	mse
102	3	0.0865	0.1741	2.2647	0.1758	2048	relu	mse
103	4	0.0866	0.1672	2.2773	0.1745	2048	relu	mse
104	5	0.0857	0.1911	2.2355	0.2393	2048	relu	mse
105	6	0.0841	0.2287	2.2597	0.2278	2048	relu	mse
106	7	0.0840	0.2370	2.2470	0.2385	2048	relu	mse
107	8	0.0837	0.2414	2.2345	0.2449	2048	relu	mse
108	9	0.0816	0.2511	2.2146	0.2641	2048	relu	mse
109	10	0.0815	0.2595	2.2095	0.2891	2048	relu	mse
110	11	0.0802	0.2837	2.2068	0.2941	2048	relu	mse
111	12	0.0796	0.2900	2.1989	0.2995	2048	relu	mse
112	13	0.0775	0.3110	2.1920	0.3134	2048	relu	mse
113	14	0.0785	0.3062	2.1784	0.3201	2048	relu	mse
114	15	0.0783	0.2996	2.1721	0.3205	2048	relu	mse
115	16	0.0778	0.2987	2.1806	0.3149	2048	relu	mse
116	17	0.0758	0.3397	2.1662	0.3455	2048	relu	mse
117	18	0.0745	0.3534	2.1527	0.3516	2048	relu	mse
118	19	0.0786	0.2779	2.1775	0.2947	2048	relu	mse
119	20	0.0783	0.2858	2.2082	0.2878	2048	relu	mse
