	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0881	0.1669	2.2432	0.2429	64	relu	mse
1	2	0.0800	0.2807	2.1935	0.3222	64	relu	mse
2	3	0.0747	0.3655	2.1353	0.4079	64	relu	mse
3	4	0.0700	0.4348	2.1065	0.4495	64	relu	mse
4	5	0.0671	0.4701	2.0768	0.4541	64	relu	mse
5	6	0.0651	0.4913	2.0860	0.4676	64	relu	mse
6	7	0.0634	0.5098	2.0635	0.4714	64	relu	mse
7	8	0.0620	0.5235	2.0479	0.4913	64	relu	mse
8	9	0.0607	0.5356	2.0554	0.4857	64	relu	mse
9	10	0.0593	0.5503	2.0467	0.4945	64	relu	mse
10	11	0.0585	0.5578	2.0265	0.4965	64	relu	mse
11	12	0.0573	0.5677	2.0444	0.5026	64	relu	mse
12	13	0.0565	0.5783	2.0240	0.4992	64	relu	mse
13	14	0.0555	0.5874	2.0205	0.4992	64	relu	mse
14	15	0.0548	0.5935	2.0179	0.5012	64	relu	mse
15	16	0.0539	0.5998	2.0133	0.5091	64	relu	mse
16	17	0.0533	0.6043	2.0240	0.4990	64	relu	mse
17	18	0.0527	0.6132	2.0109	0.5081	64	relu	mse
18	19	0.0520	0.6199	2.0286	0.5030	64	relu	mse
19	20	0.0514	0.6250	2.0116	0.5047	64	relu	mse
20	1	0.0887	0.1530	2.2639	0.1601	128	relu	mse
21	2	0.0827	0.2218	2.2154	0.2483	128	relu	mse
22	3	0.0765	0.3294	2.1540	0.3729	128	relu	mse
23	4	0.0709	0.4097	2.1115	0.4281	128	relu	mse
24	5	0.0670	0.4603	2.0885	0.4493	128	relu	mse
25	6	0.0641	0.4929	2.0704	0.4715	128	relu	mse
26	7	0.0621	0.5165	2.0579	0.4871	128	relu	mse
27	8	0.0602	0.5358	2.0365	0.4926	128	relu	mse
28	9	0.0586	0.5517	2.0313	0.5041	128	relu	mse
29	10	0.0568	0.5702	2.0242	0.5040	128	relu	mse
30	11	0.0554	0.5820	2.0229	0.5119	128	relu	mse
31	12	0.0544	0.5931	2.0165	0.5131	128	relu	mse
32	13	0.0529	0.6037	2.0092	0.5184	128	relu	mse
33	14	0.0516	0.6195	2.0093	0.5177	128	relu	mse
34	15	0.0505	0.6282	1.9963	0.5202	128	relu	mse
35	16	0.0495	0.6365	1.9959	0.5220	128	relu	mse
36	17	0.0483	0.6471	2.0110	0.5156	128	relu	mse
37	18	0.0479	0.6533	2.0001	0.5172	128	relu	mse
38	19	0.0465	0.6648	1.9776	0.5257	128	relu	mse
39	20	0.0457	0.6702	1.9963	0.5212	128	relu	mse
40	1	0.0894	0.1567	2.2665	0.1766	256	relu	mse
41	2	0.0841	0.2081	2.2208	0.2485	256	relu	mse
42	3	0.0797	0.2734	2.1955	0.2975	256	relu	mse
43	4	0.0759	0.3475	2.1434	0.3762	256	relu	mse
44	5	0.0717	0.4086	2.1096	0.4410	256	relu	mse
45	6	0.0680	0.4564	2.1034	0.4582	256	relu	mse
