	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0900	0.1511	2.3026	0.1525	64	relu	mse
1	2	0.0900	0.1530	2.3026	0.1548	64	relu	mse
2	3	0.0900	0.1522	2.3026	0.1550	64	relu	mse
3	4	0.0900	0.1545	2.3026	0.1559	64	relu	mse
4	5	0.0900	0.1563	2.3026	0.1607	64	relu	mse
5	6	0.0900	0.1621	2.3026	0.1630	64	relu	mse
6	7	0.0900	0.1654	2.3025	0.1679	64	relu	mse
7	8	0.0900	0.1652	2.3025	0.1616	64	relu	mse
8	9	0.0900	0.1601	2.3025	0.1623	64	relu	mse
9	10	0.0900	0.1626	2.3024	0.1635	64	relu	mse
10	11	0.0899	0.1621	2.3022	0.1659	64	relu	mse
11	12	0.0899	0.1576	2.3016	0.1486	64	relu	mse
12	13	0.0897	0.1486	2.3001	0.1440	64	relu	mse
13	14	0.0892	0.1442	2.2961	0.1446	64	relu	mse
14	15	0.0885	0.1453	2.2892	0.1467	64	relu	mse
15	16	0.0879	0.1492	2.2817	0.1551	64	relu	mse
16	17	0.0874	0.1555	2.2769	0.1559	64	relu	mse
17	18	0.0870	0.1587	2.2736	0.1589	64	relu	mse
18	19	0.0866	0.1708	2.2698	0.1786	64	relu	mse
19	20	0.0862	0.1818	2.2667	0.1827	64	relu	mse
20	1	0.0900	0.1660	2.3026	0.1681	128	relu	mse
21	2	0.0900	0.1638	2.3026	0.1660	128	relu	mse
22	3	0.0900	0.1604	2.3026	0.1633	128	relu	mse
23	4	0.0900	0.1558	2.3026	0.1592	128	relu	mse
24	5	0.0900	0.1535	2.3026	0.1557	128	relu	mse
25	6	0.0900	0.1522	2.3026	0.1542	128	relu	mse
26	7	0.0900	0.1503	2.3026	0.1517	128	relu	mse
27	8	0.0900	0.1492	2.3026	0.1507	128	relu	mse
28	9	0.0900	0.1510	2.3026	0.1535	128	relu	mse
29	10	0.0900	0.1505	2.3026	0.1514	128	relu	mse
30	11	0.0900	0.1461	2.3025	0.1494	128	relu	mse
31	12	0.0900	0.1465	2.3025	0.1505	128	relu	mse
32	13	0.0900	0.1515	2.3024	0.1568	128	relu	mse
33	14	0.0899	0.1520	2.3021	0.1537	128	relu	mse
34	15	0.0898	0.1508	2.3013	0.1498	128	relu	mse
