	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0857	0.2072	2.1995	0.2891	64	relu	mse
1	2	0.0761	0.3575	2.1406	0.4207	64	relu	mse
2	3	0.0704	0.4368	2.0912	0.4528	64	relu	mse
3	4	0.0672	0.4714	2.0782	0.4643	64	relu	mse
4	5	0.0652	0.4911	2.0723	0.4649	64	relu	mse
5	6	0.0634	0.5095	2.0718	0.4765	64	relu	mse
6	7	0.0621	0.5227	2.0644	0.4906	64	relu	mse
7	8	0.0608	0.5354	2.0445	0.4864	64	relu	mse
8	9	0.0596	0.5466	2.0508	0.4887	64	relu	mse
9	10	0.0587	0.5557	2.0406	0.4951	64	relu	mse
10	11	0.0577	0.5664	2.0326	0.4945	64	relu	mse
11	12	0.0568	0.5742	2.0441	0.5006	64	relu	mse
12	13	0.0561	0.5838	2.0103	0.4987	64	relu	mse
13	14	0.0556	0.5876	2.0167	0.5064	64	relu	mse
14	15	0.0549	0.5928	2.0278	0.4987	64	relu	mse
15	16	0.0540	0.6026	2.0365	0.4993	64	relu	mse
16	17	0.0537	0.6057	2.0414	0.5006	64	relu	mse
17	18	0.0529	0.6137	2.0397	0.4987	64	relu	mse
18	19	0.0526	0.6166	2.0223	0.4972	64	relu	mse
19	20	0.0521	0.6213	2.0268	0.5046	64	relu	mse
20	1	0.0871	0.1679	2.2319	0.2080	128	relu	mse
21	2	0.0797	0.2794	2.1582	0.3593	128	relu	mse
22	3	0.0725	0.3950	2.1295	0.4289	128	relu	mse
23	4	0.0678	0.4608	2.0745	0.4503	128	relu	mse
24	5	0.0650	0.4920	2.0698	0.4707	128	relu	mse
25	6	0.0630	0.5113	2.0578	0.4980	128	relu	mse
26	7	0.0610	0.5307	2.0528	0.4952	128	relu	mse
27	8	0.0597	0.5455	2.0423	0.4951	128	relu	mse
28	9	0.0579	0.5609	2.0404	0.4900	128	relu	mse
29	10	0.0567	0.5759	2.0294	0.5119	128	relu	mse
30	11	0.0555	0.5856	2.0183	0.5102	128	relu	mse
31	12	0.0544	0.5996	2.0165	0.5069	128	relu	mse
32	13	0.0532	0.6097	2.0129	0.5240	128	relu	mse
33	14	0.0522	0.6188	2.0053	0.5194	128	relu	mse
34	15	0.0515	0.6244	1.9966	0.5156	128	relu	mse
35	16	0.0505	0.6340	2.0009	0.5143	128	relu	mse
36	17	0.0498	0.6422	2.0139	0.5228	128	relu	mse
37	18	0.0489	0.6485	1.9981	0.5183	128	relu	mse
38	19	0.0480	0.6570	2.0013	0.5205	128	relu	mse
39	20	0.0475	0.6613	1.9964	0.5251	128	relu	mse
40	1	0.0881	0.1642	2.2366	0.2340	256	relu	mse
41	2	0.0806	0.2769	2.1914	0.3245	256	relu	mse
42	3	0.0748	0.3791	2.1479	0.3993	256	relu	mse
43	4	0.0699	0.4409	2.1121	0.4405	256	relu	mse
44	5	0.0665	0.4773	2.0705	0.4832	256	relu	mse
45	6	0.0641	0.4996	2.0861	0.4742	256	relu	mse
46	7	0.0621	0.5214	2.0588	0.4896	256	relu	mse
47	8	0.0605	0.5338	2.0451	0.4963	256	relu	mse
48	9	0.0590	0.5506	2.0444	0.5061	256	relu	mse
49	10	0.0577	0.5645	2.0327	0.5002	256	relu	mse
50	11	0.0560	0.5771	2.0192	0.5145	256	relu	mse
51	12	0.0553	0.5869	2.0114	0.5248	256	relu	mse
52	13	0.0543	0.5986	2.0248	0.5141	256	relu	mse
53	14	0.0531	0.6077	2.0006	0.5259	256	relu	mse
54	15	0.0513	0.6271	2.0113	0.5240	256	relu	mse
55	16	0.0512	0.6265	1.9922	0.5256	256	relu	mse
56	17	0.0502	0.6345	2.0143	0.5183	256	relu	mse
57	18	0.0501	0.6385	2.0075	0.5184	256	relu	mse
58	19	0.0491	0.6469	1.9967	0.5302	256	relu	mse
59	20	0.0490	0.6463	2.0044	0.5144	256	relu	mse
60	1	0.0887	0.1477	2.2695	0.1506	512	relu	mse
61	2	0.0851	0.1914	2.2460	0.2067	512	relu	mse
62	3	0.0832	0.2243	2.2196	0.2765	512	relu	mse
63	4	0.0796	0.2954	2.1868	0.3301	512	relu	mse
64	5	0.0754	0.3625	2.1365	0.4135	512	relu	mse
65	6	0.0716	0.4144	2.1460	0.3924	512	relu	mse
66	7	0.0693	0.4383	2.1082	0.4363	512	relu	mse
67	8	0.0674	0.4595	2.1153	0.4263	512	relu	mse
68	9	0.0649	0.4851	2.0720	0.4721	512	relu	mse
69	10	0.0641	0.4944	2.0506	0.4900	512	relu	mse
70	11	0.0626	0.5083	2.0642	0.4852	512	relu	mse
71	12	0.0614	0.5230	2.0700	0.4764	512	relu	mse
72	13	0.0627	0.5069	2.0551	0.4893	512	relu	mse
73	14	0.0603	0.5341	2.0465	0.4857	512	relu	mse
74	15	0.0601	0.5348	2.0512	0.4897	512	relu	mse
75	16	0.0602	0.5389	2.0407	0.4877	512	relu	mse
76	17	0.0593	0.5450	2.0487	0.4968	512	relu	mse
77	18	0.0593	0.5438	2.0444	0.4855	512	relu	mse
78	19	0.0593	0.5406	2.0696	0.4760	512	relu	mse
79	20	0.0582	0.5570	2.0358	0.5048	512	relu	mse
80	1	0.0887	0.1487	2.2721	0.1544	1024	relu	mse
81	2	0.0859	0.1693	2.2551	0.1920	1024	relu	mse
82	3	0.0854	0.2022	2.2591	0.2005	1024	relu	mse
83	4	0.0842	0.2281	2.2317	0.2547	1024	relu	mse
84	5	0.0807	0.2796	2.1983	0.2982	1024	relu	mse
85	6	0.0772	0.3295	2.1587	0.3592	1024	relu	mse
86	7	0.0758	0.3613	2.1390	0.4040	1024	relu	mse
87	8	0.0742	0.3815	2.1649	0.3705	1024	relu	mse
88	9	0.0719	0.4088	2.1200	0.4447	1024	relu	mse
89	10	0.0698	0.4329	2.1467	0.3486	1024	relu	mse
90	11	0.0701	0.4196	2.1210	0.4028	1024	relu	mse
91	12	0.0687	0.4501	2.1391	0.3885	1024	relu	mse
92	13	0.0695	0.4313	2.0858	0.4537	1024	relu	mse
93	14	0.0668	0.4728	2.0739	0.4750	1024	relu	mse
94	15	0.0686	0.4531	2.1132	0.4050	1024	relu	mse
95	16	0.0773	0.3093	2.2361	0.2225	1024	relu	mse
96	17	0.0761	0.3324	2.1101	0.4253	1024	relu	mse
97	18	0.0760	0.3553	2.1675	0.3553	1024	relu	mse
98	19	0.0775	0.3195	2.1628	0.3684	1024	relu	mse
99	20	0.0704	0.4324	2.1260	0.4112	1024	relu	mse
100	1	0.0886	0.1546	2.2783	0.1530	2048	relu	mse
101	2	0.0874	0.1405	2.2743	0.1461	2048	relu	mse
102	3	0.0863	0.1608	2.2599	0.1829	2048	relu	mse
103	4	0.0857	0.1856	2.2593	0.2068	2048	relu	mse
104	5	0.0845	0.2148	2.2418	0.2273	2048	relu	mse
105	6	0.0822	0.2360	2.2106	0.2480	2048	relu	mse
106	7	0.0808	0.2512	2.1989	0.2692	2048	relu	mse
107	8	0.0802	0.2662	2.2013	0.2799	2048	relu	mse
108	9	0.0802	0.2787	2.2087	0.2948	2048	relu	mse
109	10	0.0787	0.3039	2.1842	0.3114	2048	relu	mse
110	11	0.0787	0.3052	2.1872	0.3203	2048	relu	mse
111	12	0.0794	0.2933	2.2246	0.2815	2048	relu	mse
112	13	0.0776	0.3102	2.1631	0.3359	2048	relu	mse
113	14	0.0771	0.3207	2.2011	0.3032	2048	relu	mse
114	15	0.0777	0.3211	2.1964	0.3079	2048	relu	mse
115	16	0.0767	0.3276	2.2115	0.2799	2048	relu	mse
116	17	0.0788	0.2986	2.1852	0.3321	2048	relu	mse
117	18	0.0760	0.3345	2.1646	0.3448	2048	relu	mse
118	19	0.0791	0.2945	2.2778	0.1683	2048	relu	mse
119	20	0.0863	0.1791	2.2377	0.2192	2048	relu	mse
