	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	1.9351	0.2877	1.6935	0.3891	64	relu	xent
1	2	1.6449	0.4150	1.5838	0.4352	64	relu	xent
2	3	1.5398	0.4542	1.5305	0.4644	64	relu	xent
3	4	1.4679	0.4806	1.4901	0.4755	64	relu	xent
4	5	1.4213	0.4944	1.4875	0.4714	64	relu	xent
5	6	1.3830	0.5144	1.4755	0.4746	64	relu	xent
6	7	1.3591	0.5189	1.4808	0.4850	64	relu	xent
7	8	1.3345	0.5301	1.4268	0.4955	64	relu	xent
8	9	1.3035	0.5403	1.4460	0.4911	64	relu	xent
9	10	1.2879	0.5447	1.4814	0.4944	64	relu	xent
10	11	1.2616	0.5529	1.4861	0.4840	64	relu	xent
11	12	1.2420	0.5608	1.4479	0.5053	64	relu	xent
12	13	1.2220	0.5663	1.4486	0.4978	64	relu	xent
13	14	1.2082	0.5745	1.4741	0.4995	64	relu	xent
14	15	1.1893	0.5792	1.4752	0.4973	64	relu	xent
15	16	1.1772	0.5820	1.4682	0.5042	64	relu	xent
16	17	1.1605	0.5876	1.4758	0.5000	64	relu	xent
17	18	1.1479	0.5936	1.4864	0.5007	64	relu	xent
18	19	1.1320	0.6003	1.4917	0.4942	64	relu	xent
19	20	1.1343	0.5986	1.4597	0.5028	64	relu	xent
20	1	1.9864	0.2635	1.7824	0.3504	128	relu	xent
21	2	1.6862	0.3927	1.5918	0.4394	128	relu	xent
22	3	1.5704	0.4385	1.5408	0.4450	128	relu	xent
23	4	1.5009	0.4642	1.5251	0.4577	128	relu	xent
24	5	1.4451	0.4834	1.5291	0.4578	128	relu	xent
25	6	1.4072	0.5006	1.4489	0.4892	128	relu	xent
26	7	1.3894	0.5048	1.4859	0.4739	128	relu	xent
27	8	1.3543	0.5184	1.4674	0.4858	128	relu	xent
28	9	1.3324	0.5244	1.4366	0.4985	128	relu	xent
29	10	1.2994	0.5362	1.4430	0.4940	128	relu	xent
30	11	1.2766	0.5451	1.4852	0.4840	128	relu	xent
31	12	1.2803	0.5423	1.5569	0.4546	128	relu	xent
32	13	1.2647	0.5492	1.4899	0.4904	128	relu	xent
33	14	1.2917	0.5364	1.4939	0.4806	128	relu	xent
34	15	1.2397	0.5588	1.5482	0.4636	128	relu	xent
35	16	1.2778	0.5438	1.5983	0.4537	128	relu	xent
36	17	1.2290	0.5593	1.4472	0.5029	128	relu	xent
37	18	1.1722	0.5842	1.4788	0.5019	128	relu	xent
38	19	1.2412	0.5625	1.4946	0.4886	128	relu	xent
39	20	1.1874	0.5770	1.4969	0.5020	128	relu	xent
40	1	1.9623	0.2808	1.7653	0.3537	256	relu	xent
41	2	1.6571	0.4033	1.6294	0.4141	256	relu	xent
42	3	1.5665	0.4382	1.5525	0.4403	256	relu	xent
43	4	1.5101	0.4590	1.5243	0.4459	256	relu	xent
44	5	1.5037	0.4593	1.4886	0.4711	256	relu	xent
45	6	1.4480	0.4805	1.5533	0.4368	256	relu	xent
46	7	1.4859	0.4601	1.5003	0.4645	256	relu	xent
47	8	1.4582	0.4741	1.5914	0.4309	256	relu	xent
48	9	1.4053	0.4968	1.5324	0.4533	256	relu	xent
49	10	1.3840	0.5035	1.4786	0.4746	256	relu	xent
50	11	1.3653	0.5103	1.5052	0.4696	256	relu	xent
51	12	1.3939	0.4956	1.4779	0.4734	256	relu	xent
52	13	1.3262	0.5226	1.6101	0.4286	256	relu	xent
53	14	1.3675	0.5064	1.6049	0.4251	256	relu	xent
54	15	1.3830	0.4982	1.6443	0.4253	256	relu	xent
55	16	1.4479	0.4733	1.5774	0.4344	256	relu	xent
56	17	1.3954	0.4999	1.7052	0.3905	256	relu	xent
57	18	1.5694	0.4192	1.7017	0.3800	256	relu	xent
58	19	1.4252	0.4788	1.7092	0.3614	256	relu	xent
59	20	1.5027	0.4476	1.7090	0.3747	256	relu	xent
60	1	2.0514	0.2348	1.8945	0.3000	512	relu	xent
61	2	1.8511	0.3248	1.8121	0.3461	512	relu	xent
62	3	1.7920	0.3405	1.8852	0.3048	512	relu	xent
63	4	1.7493	0.3555	1.7755	0.3463	512	relu	xent
64	5	1.7656	0.3480	1.7635	0.3499	512	relu	xent
65	6	1.7481	0.3583	1.8296	0.3158	512	relu	xent
66	7	1.6821	0.3772	1.7020	0.3646	512	relu	xent
67	8	1.6821	0.3818	1.7239	0.3585	512	relu	xent
68	9	1.9162	0.2867	2.2352	0.1407	512	relu	xent
69	10	2.1713	0.1713	2.1435	0.1767	512	relu	xent
70	11	2.0903	0.2064	2.0061	0.2857	512	relu	xent
71	12	1.9434	0.2723	1.8173	0.3300	512	relu	xent
72	13	1.7782	0.3441	1.7594	0.3535	512	relu	xent
73	14	1.7241	0.3628	1.8324	0.3163	512	relu	xent
74	15	1.7345	0.3525	1.7217	0.3611	512	relu	xent
75	16	1.6465	0.3889	1.7623	0.3557	512	relu	xent
76	17	1.6992	0.3696	1.6995	0.3774	512	relu	xent
77	18	1.6527	0.3872	1.8111	0.3167	512	relu	xent
78	19	1.6588	0.3827	1.6955	0.3805	512	relu	xent
79	20	1.6227	0.3969	1.7148	0.3641	512	relu	xent
80	1	2.0630	0.2381	1.9038	0.2921	1024	relu	xent
81	2	1.8992	0.3025	1.8401	0.3223	1024	relu	xent
82	3	1.8666	0.3137	1.8021	0.3351	1024	relu	xent
83	4	1.7918	0.3394	1.7744	0.3449	1024	relu	xent
84	5	1.7879	0.3427	1.7638	0.3393	1024	relu	xent
85	6	1.8359	0.3141	1.8453	0.3135	1024	relu	xent
86	7	1.8790	0.2996	2.0359	0.2483	1024	relu	xent
87	8	1.8830	0.3011	1.8113	0.3321	1024	relu	xent
88	9	1.9697	0.2731	2.0535	0.2403	1024	relu	xent
89	10	1.9576	0.2697	1.9934	0.2381	1024	relu	xent
90	11	1.8951	0.2743	1.8229	0.3047	1024	relu	xent
91	12	1.8165	0.3191	1.8591	0.3066	1024	relu	xent
92	13	1.7694	0.3421	1.8086	0.3392	1024	relu	xent
93	14	1.7595	0.3471	1.7309	0.3482	1024	relu	xent
94	15	1.9864	0.2499	1.8406	0.3218	1024	relu	xent
95	16	2.0575	0.2208	2.0734	0.2122	1024	relu	xent
96	17	2.1091	0.1990	2.2379	0.1395	1024	relu	xent
