	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.2968	0.1183	2.2879	0.1295	64	relu	xent
1	2	2.2627	0.1517	2.2261	0.1748	64	relu	xent
2	3	2.1791	0.1826	2.1253	0.2023	64	relu	xent
3	4	2.0748	0.2083	2.0295	0.2291	64	relu	xent
4	5	2.0006	0.2394	1.9767	0.2610	64	relu	xent
5	6	1.9426	0.2822	1.9080	0.3086	64	relu	xent
6	7	1.8809	0.3147	1.8638	0.3203	64	relu	xent
7	8	1.8396	0.3283	1.8223	0.3382	64	relu	xent
8	9	1.8008	0.3443	1.7836	0.3531	64	relu	xent
9	10	1.7711	0.3558	1.7560	0.3633	64	relu	xent
10	11	1.7469	0.3646	1.7438	0.3615	64	relu	xent
11	12	1.7204	0.3738	1.7234	0.3757	64	relu	xent
12	13	1.7008	0.3810	1.7283	0.3693	64	relu	xent
13	14	1.6769	0.3924	1.6847	0.3944	64	relu	xent
14	15	1.6556	0.4024	1.6744	0.3981	64	relu	xent
15	16	1.6376	0.4096	1.6523	0.4107	64	relu	xent
16	17	1.6154	0.4193	1.6386	0.4167	64	relu	xent
17	18	1.5965	0.4256	1.6104	0.4282	64	relu	xent
18	19	1.5706	0.4369	1.6159	0.4259	64	relu	xent
19	20	1.5550	0.4442	1.5905	0.4310	64	relu	xent
20	1	2.2994	0.1479	2.2951	0.1762	128	relu	xent
21	2	2.2864	0.1714	2.2725	0.1699	128	relu	xent
22	3	2.2403	0.1658	2.1964	0.1905	128	relu	xent
23	4	2.1471	0.1870	2.0937	0.2132	128	relu	xent
24	5	2.0507	0.2264	2.0123	0.2480	128	relu	xent
25	6	1.9872	0.2529	1.9645	0.2687	128	relu	xent
26	7	1.9463	0.2731	1.9287	0.2818	128	relu	xent
27	8	1.9135	0.2905	1.8957	0.2966	128	relu	xent
28	9	1.8803	0.3040	1.8643	0.3140	128	relu	xent
29	10	1.8446	0.3190	1.8337	0.3158	128	relu	xent
30	11	1.8130	0.3310	1.8077	0.3273	128	relu	xent
31	12	1.7808	0.3428	1.7713	0.3462	128	relu	xent
32	13	1.7544	0.3555	1.7465	0.3518	128	relu	xent
33	14	1.7281	0.3656	1.7177	0.3709	128	relu	xent
34	15	1.7000	0.3763	1.7128	0.3691	128	relu	xent
35	16	1.6780	0.3848	1.6672	0.3965	128	relu	xent
36	17	1.6506	0.3957	1.6614	0.3936	128	relu	xent
37	18	1.6309	0.4022	1.6414	0.3989	128	relu	xent
38	19	1.6074	0.4110	1.6274	0.4041	128	relu	xent
39	20	1.5839	0.4207	1.5965	0.4184	128	relu	xent
40	1	2.3002	0.1365	2.2954	0.1677	256	relu	xent
41	2	2.2872	0.1840	2.2744	0.1973	256	relu	xent
42	3	2.2458	0.1868	2.2092	0.1831	256	relu	xent
43	4	2.1653	0.1958	2.1226	0.2114	256	relu	xent
44	5	2.0859	0.2256	2.0313	0.2510	256	relu	xent
45	6	2.0063	0.2539	1.9639	0.2670	256	relu	xent
46	7	1.9586	0.2807	1.9457	0.2916	256	relu	xent
47	8	1.9285	0.2961	1.9100	0.3050	256	relu	xent
48	9	1.8977	0.3069	1.8893	0.3043	256	relu	xent
49	10	1.8632	0.3186	1.8486	0.3301	256	relu	xent
50	11	1.8259	0.3341	1.8332	0.3356	256	relu	xent
51	12	1.7960	0.3455	1.7862	0.3460	256	relu	xent
52	13	1.7680	0.3558	1.7412	0.3755	256	relu	xent
53	14	1.7386	0.3651	1.7150	0.3819	256	relu	xent
54	15	1.7177	0.3731	1.7271	0.3702	256	relu	xent
55	16	1.6901	0.3836	1.6940	0.3851	256	relu	xent
56	17	1.6629	0.3964	1.6853	0.3879	256	relu	xent
57	18	1.6301	0.4123	1.6342	0.4167	256	relu	xent
58	19	1.5989	0.4262	1.6231	0.4176	256	relu	xent
59	20	1.5758	0.4322	1.5841	0.4290	256	relu	xent
60	1	2.3008	0.1419	2.2977	0.1788	512	relu	xent
61	2	2.2891	0.1853	2.2737	0.1842	512	relu	xent
62	3	2.2364	0.1806	2.1930	0.1725	512	relu	xent
63	4	2.1575	0.1843	2.1169	0.1937	512	relu	xent
64	5	2.0978	0.1972	2.0721	0.2084	512	relu	xent
65	6	2.0530	0.2221	2.0395	0.2354	512	relu	xent
66	7	2.0108	0.2422	1.9848	0.2519	512	relu	xent
67	8	1.9854	0.2555	1.9937	0.2599	512	relu	xent
68	9	1.9608	0.2626	1.9613	0.2540	512	relu	xent
69	10	1.9366	0.2676	1.9229	0.2709	512	relu	xent
70	11	1.9185	0.2772	1.9142	0.2822	512	relu	xent
71	12	1.8996	0.2833	1.9081	0.2823	512	relu	xent
72	13	1.8893	0.2882	1.8979	0.2895	512	relu	xent
73	14	1.8698	0.2986	1.8771	0.2966	512	relu	xent
74	15	1.8550	0.3044	1.8509	0.3148	512	relu	xent
75	16	1.8342	0.3156	1.8237	0.3172	512	relu	xent
76	17	1.8196	0.3205	1.8330	0.3232	512	relu	xent
77	18	1.7982	0.3337	1.7986	0.3281	512	relu	xent
78	19	1.7806	0.3423	1.7845	0.3437	512	relu	xent
79	20	1.7681	0.3468	1.7805	0.3438	512	relu	xent
80	1	2.2999	0.1683	2.2961	0.1804	1024	relu	xent
81	2	2.2854	0.1732	2.2664	0.1739	1024	relu	xent
82	3	2.2267	0.1652	2.1777	0.1717	1024	relu	xent
83	4	2.1408	0.1817	2.1029	0.1967	1024	relu	xent
84	5	2.0881	0.2022	2.0576	0.2231	1024	relu	xent
85	6	2.0476	0.2294	2.0652	0.2315	1024	relu	xent
86	7	2.0153	0.2446	1.9996	0.2576	1024	relu	xent
87	8	1.9850	0.2600	1.9814	0.2704	1024	relu	xent
88	9	1.9607	0.2721	1.9460	0.2785	1024	relu	xent
89	10	1.9363	0.2787	1.9399	0.2796	1024	relu	xent
90	11	1.9148	0.2888	1.9076	0.2921	1024	relu	xent
91	12	1.9016	0.3014	1.8879	0.3116	1024	relu	xent
92	13	1.8854	0.3138	1.8849	0.3141	1024	relu	xent
93	14	1.8622	0.3240	1.8510	0.3366	1024	relu	xent
94	15	1.8453	0.3367	1.8472	0.3361	1024	relu	xent
95	16	1.8316	0.3424	1.8151	0.3524	1024	relu	xent
96	17	1.8156	0.3480	1.8157	0.3517	1024	relu	xent
97	18	1.8049	0.3527	1.7936	0.3621	1024	relu	xent
98	19	1.7826	0.3619	1.7844	0.3657	1024	relu	xent
99	20	1.7715	0.3655	1.7981	0.3586	1024	relu	xent
100	1	2.2994	0.1814	2.2934	0.1992	2048	relu	xent
101	2	2.2741	0.1898	2.2434	0.1848	2048	relu	xent
102	3	2.1868	0.1809	2.1556	0.1805	2048	relu	xent
103	4	2.1250	0.1924	2.0952	0.2055	2048	relu	xent
104	5	2.0751	0.2173	2.0526	0.2372	2048	relu	xent
105	6	2.0425	0.2440	2.0182	0.2591	2048	relu	xent
106	7	2.0173	0.2606	1.9920	0.2750	2048	relu	xent
107	8	1.9843	0.2757	2.0069	0.2679	2048	relu	xent
108	9	1.9681	0.2833	1.9808	0.2838	2048	relu	xent
109	10	1.9517	0.2910	1.9381	0.3011	2048	relu	xent
110	11	1.9263	0.2988	1.9265	0.3008	2048	relu	xent
111	12	1.9125	0.3025	1.8979	0.3105	2048	relu	xent
112	13	1.8877	0.3099	1.8979	0.3115	2048	relu	xent
113	14	1.8788	0.3095	1.8816	0.3126	2048	relu	xent
114	15	1.8583	0.3160	1.8411	0.3257	2048	relu	xent
115	16	1.8491	0.3118	1.8449	0.3248	2048	relu	xent
116	17	1.8340	0.3269	1.8413	0.3286	2048	relu	xent
117	18	1.8205	0.3311	1.8194	0.3361	2048	relu	xent
118	19	1.8029	0.3337	1.7974	0.3407	2048	relu	xent
119	20	1.8086	0.3398	1.8152	0.3431	2048	relu	xent
