	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.2997	0.1102	2.2961	0.1222	64	relu	xent
1	2	2.2891	0.1310	2.2799	0.1443	64	relu	xent
2	3	2.2617	0.1578	2.2386	0.1836	64	relu	xent
3	4	2.2123	0.1800	2.1862	0.1741	64	relu	xent
4	5	2.1538	0.1883	2.1199	0.2148	64	relu	xent
5	6	2.0886	0.2143	2.0535	0.2234	64	relu	xent
6	7	2.0302	0.2319	2.0049	0.2446	64	relu	xent
7	8	1.9758	0.2597	1.9530	0.2684	64	relu	xent
8	9	1.9335	0.2811	1.9196	0.2871	64	relu	xent
9	10	1.9019	0.2937	1.8941	0.3000	64	relu	xent
10	11	1.8777	0.3069	1.8792	0.3133	64	relu	xent
11	12	1.8598	0.3159	1.8570	0.3216	64	relu	xent
12	13	1.8416	0.3241	1.8473	0.3235	64	relu	xent
13	14	1.8258	0.3295	1.8242	0.3301	64	relu	xent
14	15	1.8076	0.3365	1.8031	0.3360	64	relu	xent
15	16	1.7893	0.3444	1.7930	0.3420	64	relu	xent
16	17	1.7725	0.3500	1.7669	0.3559	64	relu	xent
17	18	1.7541	0.3593	1.7490	0.3677	64	relu	xent
18	19	1.7358	0.3703	1.7401	0.3688	64	relu	xent
19	20	1.7236	0.3767	1.7229	0.3786	64	relu	xent
20	1	2.3007	0.1360	2.2987	0.1621	128	relu	xent
21	2	2.2961	0.1693	2.2922	0.1808	128	relu	xent
22	3	2.2868	0.1718	2.2787	0.1731	128	relu	xent
23	4	2.2643	0.1645	2.2453	0.1675	128	relu	xent
24	5	2.2193	0.1732	2.1911	0.1958	128	relu	xent
25	6	2.1618	0.1825	2.1252	0.1988	128	relu	xent
26	7	2.0954	0.2065	2.0625	0.2336	128	relu	xent
27	8	2.0415	0.2320	2.0163	0.2432	128	relu	xent
28	9	2.0017	0.2471	1.9847	0.2577	128	relu	xent
29	10	1.9716	0.2590	1.9578	0.2676	128	relu	xent
30	11	1.9489	0.2722	1.9351	0.2787	128	relu	xent
31	12	1.9257	0.2837	1.9262	0.2867	128	relu	xent
32	13	1.9053	0.2936	1.9046	0.2909	128	relu	xent
33	14	1.8851	0.3041	1.8768	0.3021	128	relu	xent
34	15	1.8606	0.3148	1.8544	0.3151	128	relu	xent
35	16	1.8427	0.3188	1.8312	0.3234	128	relu	xent
36	17	1.8201	0.3276	1.8135	0.3294	128	relu	xent
37	18	1.8037	0.3331	1.7969	0.3361	128	relu	xent
38	19	1.7868	0.3390	1.7833	0.3391	128	relu	xent
39	20	1.7656	0.3477	1.7560	0.3509	128	relu	xent
40	1	2.3018	0.1189	2.2996	0.1661	256	relu	xent
41	2	2.2962	0.1688	2.2926	0.1741	256	relu	xent
42	3	2.2868	0.1882	2.2794	0.2007	256	relu	xent
43	4	2.2670	0.2016	2.2509	0.2119	256	relu	xent
44	5	2.2265	0.2009	2.2007	0.1941	256	relu	xent
45	6	2.1687	0.2085	2.1333	0.2307	256	relu	xent
46	7	2.0956	0.2423	2.0621	0.2453	256	relu	xent
47	8	2.0360	0.2486	2.0117	0.2527	256	relu	xent
48	9	1.9971	0.2572	1.9891	0.2566	256	relu	xent
49	10	1.9742	0.2649	1.9667	0.2813	256	relu	xent
50	11	1.9510	0.2831	1.9706	0.2767	256	relu	xent
51	12	1.9366	0.2897	1.9394	0.2899	256	relu	xent
52	13	1.9169	0.2985	1.9146	0.3042	256	relu	xent
53	14	1.8957	0.3041	1.9115	0.3025	256	relu	xent
54	15	1.8715	0.3137	1.8760	0.3140	256	relu	xent
55	16	1.8532	0.3221	1.8546	0.3249	256	relu	xent
56	17	1.8328	0.3307	1.8315	0.3369	256	relu	xent
57	18	1.8112	0.3392	1.8159	0.3353	256	relu	xent
58	19	1.7912	0.3458	1.8006	0.3487	256	relu	xent
59	20	1.7727	0.3516	1.7806	0.3515	256	relu	xent
60	1	2.3019	0.1214	2.3006	0.1719	512	relu	xent
61	2	2.2982	0.1792	2.2953	0.1789	512	relu	xent
62	3	2.2897	0.1826	2.2813	0.1838	512	relu	xent
63	4	2.2647	0.1786	2.2439	0.1761	512	relu	xent
64	5	2.2178	0.1762	2.1927	0.1780	512	relu	xent
65	6	2.1693	0.1838	2.1465	0.1889	512	relu	xent
66	7	2.1242	0.1916	2.0993	0.1968	512	relu	xent
67	8	2.0889	0.1990	2.0667	0.2074	512	relu	xent
68	9	2.0604	0.2151	2.0447	0.2258	512	relu	xent
69	10	2.0355	0.2316	2.0120	0.2467	512	relu	xent
70	11	2.0084	0.2454	1.9916	0.2519	512	relu	xent
71	12	1.9895	0.2508	1.9791	0.2546	512	relu	xent
72	13	1.9753	0.2576	1.9577	0.2641	512	relu	xent
73	14	1.9601	0.2606	1.9476	0.2661	512	relu	xent
74	15	1.9467	0.2626	1.9386	0.2749	512	relu	xent
75	16	1.9303	0.2695	1.9226	0.2766	512	relu	xent
76	17	1.9235	0.2706	1.9141	0.2800	512	relu	xent
77	18	1.9134	0.2752	1.9029	0.2778	512	relu	xent
78	19	1.9031	0.2787	1.8996	0.2787	512	relu	xent
79	20	1.9035	0.2760	1.9505	0.2531	512	relu	xent
80	1	2.3012	0.1612	2.2993	0.1858	1024	relu	xent
81	2	2.2967	0.1775	2.2931	0.1771	1024	relu	xent
82	3	2.2854	0.1690	2.2746	0.1751	1024	relu	xent
83	4	2.2560	0.1678	2.2325	0.1735	1024	relu	xent
84	5	2.2018	0.1645	2.1697	0.1690	1024	relu	xent
85	6	2.1432	0.1770	2.1211	0.1849	1024	relu	xent
86	7	2.1068	0.1938	2.0812	0.2006	1024	relu	xent
87	8	2.0727	0.2077	2.0559	0.2207	1024	relu	xent
88	9	2.0495	0.2249	2.0442	0.2335	1024	relu	xent
89	10	2.0219	0.2390	2.0046	0.2470	1024	relu	xent
90	11	2.0081	0.2436	1.9861	0.2590	1024	relu	xent
91	12	1.9843	0.2533	1.9891	0.2597	1024	relu	xent
92	13	1.9710	0.2582	1.9616	0.2691	1024	relu	xent
93	14	1.9539	0.2684	1.9611	0.2752	1024	relu	xent
94	15	1.9428	0.2705	1.9519	0.2658	1024	relu	xent
95	16	1.9326	0.2787	1.9287	0.2855	1024	relu	xent
96	17	1.9177	0.2845	1.9139	0.2892	1024	relu	xent
97	18	1.9085	0.2882	1.8984	0.2980	1024	relu	xent
98	19	1.8975	0.2945	1.8896	0.2940	1024	relu	xent
99	20	1.8895	0.2944	1.8920	0.2951	1024	relu	xent
100	1	2.3011	0.1747	2.2992	0.2031	2048	relu	xent
101	2	2.2942	0.1964	2.2869	0.1962	2048	relu	xent
102	3	2.2736	0.1872	2.2564	0.1844	2048	relu	xent
103	4	2.2259	0.1800	2.1843	0.1744	2048	relu	xent
104	5	2.1573	0.1792	2.1223	0.1862	2048	relu	xent
