	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	1.9921	0.2576	1.7589	0.3609	64	relu	xent
1	2	1.6770	0.4011	1.6134	0.4293	64	relu	xent
2	3	1.5525	0.4472	1.5325	0.4594	64	relu	xent
3	4	1.4740	0.4762	1.4946	0.4663	64	relu	xent
4	5	1.4137	0.4981	1.4493	0.4876	64	relu	xent
5	6	1.3650	0.5153	1.4522	0.4843	64	relu	xent
6	7	1.3264	0.5291	1.4365	0.4980	64	relu	xent
7	8	1.2968	0.5397	1.4196	0.4941	64	relu	xent
8	9	1.2685	0.5499	1.4270	0.4999	64	relu	xent
9	10	1.2393	0.5578	1.4189	0.5049	64	relu	xent
10	11	1.2152	0.5685	1.4236	0.5063	64	relu	xent
11	12	1.1966	0.5730	1.4255	0.5062	64	relu	xent
12	13	1.1776	0.5807	1.4272	0.5040	64	relu	xent
13	14	1.1611	0.5877	1.4735	0.4958	64	relu	xent
14	15	1.1448	0.5935	1.4412	0.5044	64	relu	xent
15	16	1.1239	0.5993	1.4419	0.5093	64	relu	xent
16	17	1.1117	0.6057	1.4695	0.5039	64	relu	xent
17	18	1.0905	0.6146	1.4543	0.5068	64	relu	xent
18	19	1.0757	0.6167	1.4680	0.5070	64	relu	xent
19	20	1.0698	0.6183	1.4927	0.5000	64	relu	xent
20	1	2.0482	0.2353	1.8282	0.3279	128	relu	xent
21	2	1.7198	0.3796	1.6382	0.4184	128	relu	xent
22	3	1.5853	0.4340	1.5593	0.4401	128	relu	xent
23	4	1.5054	0.4600	1.5426	0.4499	128	relu	xent
24	5	1.4490	0.4821	1.4728	0.4785	128	relu	xent
25	6	1.3849	0.5091	1.4741	0.4845	128	relu	xent
26	7	1.3619	0.5137	1.4632	0.4767	128	relu	xent
27	8	1.3245	0.5268	1.4208	0.5024	128	relu	xent
28	9	1.2888	0.5382	1.4225	0.5082	128	relu	xent
29	10	1.2711	0.5449	1.4501	0.4893	128	relu	xent
30	11	1.2247	0.5612	1.4036	0.5058	128	relu	xent
31	12	1.1953	0.5716	1.4650	0.4980	128	relu	xent
32	13	1.2019	0.5693	1.4391	0.5019	128	relu	xent
33	14	1.1501	0.5883	1.4286	0.5018	128	relu	xent
34	15	1.1361	0.5918	1.4450	0.4926	128	relu	xent
35	16	1.1030	0.6041	1.4732	0.5039	128	relu	xent
36	17	1.0958	0.6066	1.4783	0.4941	128	relu	xent
37	18	1.0970	0.6025	1.5255	0.4845	128	relu	xent
38	19	1.0563	0.6194	1.5040	0.4973	128	relu	xent
39	20	1.0326	0.6261	1.4822	0.5058	128	relu	xent
40	1	2.0314	0.2566	1.7946	0.3454	256	relu	xent
41	2	1.6977	0.3893	1.6350	0.4144	256	relu	xent
42	3	1.5794	0.4350	1.5512	0.4443	256	relu	xent
43	4	1.4904	0.4696	1.4804	0.4672	256	relu	xent
44	5	1.4316	0.4893	1.4385	0.4862	256	relu	xent
45	6	1.3988	0.5037	1.4343	0.4837	256	relu	xent
46	7	1.3632	0.5134	1.4162	0.4971	256	relu	xent
47	8	1.2990	0.5383	1.4128	0.4939	256	relu	xent
48	9	1.2767	0.5452	1.4441	0.4914	256	relu	xent
49	10	1.2553	0.5504	1.4039	0.4997	256	relu	xent
50	11	1.2650	0.5478	1.4178	0.4985	256	relu	xent
51	12	1.2130	0.5685	1.4140	0.5052	256	relu	xent
52	13	1.2467	0.5561	1.4954	0.4675	256	relu	xent
53	14	1.2123	0.5637	1.4348	0.4963	256	relu	xent
54	15	1.1686	0.5821	1.5696	0.4484	256	relu	xent
55	16	1.1157	0.6035	1.4098	0.5133	256	relu	xent
56	17	1.0834	0.6125	1.4474	0.5153	256	relu	xent
57	18	1.1744	0.5760	1.6355	0.4186	256	relu	xent
58	19	1.1506	0.5829	1.5960	0.4361	256	relu	xent
59	20	1.1763	0.5767	1.5878	0.4549	256	relu	xent
60	1	2.0998	0.2196	1.9247	0.2960	512	relu	xent
61	2	1.8730	0.3166	1.8144	0.3405	512	relu	xent
62	3	1.8040	0.3388	1.7723	0.3441	512	relu	xent
63	4	1.7382	0.3616	1.7080	0.3671	512	relu	xent
64	5	1.7100	0.3662	1.8177	0.3294	512	relu	xent
65	6	1.7166	0.3733	1.7903	0.3430	512	relu	xent
66	7	1.7859	0.3402	1.8257	0.3205	512	relu	xent
67	8	1.6719	0.3897	1.7978	0.3367	512	relu	xent
68	9	1.6083	0.4060	1.6530	0.3949	512	relu	xent
69	10	1.6083	0.4027	1.6809	0.3712	512	relu	xent
70	11	1.6679	0.3872	2.0600	0.2252	512	relu	xent
71	12	1.8675	0.3042	1.7959	0.3520	512	relu	xent
72	13	1.6178	0.4064	1.7138	0.3784	512	relu	xent
73	14	1.5612	0.4250	1.6274	0.3982	512	relu	xent
74	15	1.5585	0.4242	1.7396	0.3590	512	relu	xent
75	16	1.5455	0.4322	1.7149	0.3758	512	relu	xent
76	17	1.5324	0.4340	1.6652	0.3908	512	relu	xent
77	18	1.4974	0.4467	1.6550	0.3893	512	relu	xent
78	19	1.5221	0.4371	1.7052	0.3862	512	relu	xent
79	20	1.4600	0.4562	1.6343	0.4061	512	relu	xent
80	1	2.1050	0.2263	1.9536	0.2922	1024	relu	xent
81	2	1.8949	0.3069	1.8202	0.3317	1024	relu	xent
82	3	1.8358	0.3236	1.7878	0.3487	1024	relu	xent
83	4	1.7807	0.3474	1.7554	0.3651	1024	relu	xent
84	5	1.7547	0.3510	1.7545	0.3418	1024	relu	xent
85	6	1.7259	0.3573	1.8966	0.3068	1024	relu	xent
86	7	1.7631	0.3492	1.7424	0.3593	1024	relu	xent
87	8	1.6919	0.3752	1.7892	0.3393	1024	relu	xent
88	9	1.6908	0.3746	1.6878	0.3838	1024	relu	xent
89	10	1.6460	0.3891	1.7043	0.3668	1024	relu	xent
90	11	1.6489	0.3875	1.7123	0.3687	1024	relu	xent
91	12	1.6427	0.3953	1.6672	0.3838	1024	relu	xent
92	13	1.9456	0.2596	1.9928	0.2397	1024	relu	xent
93	14	1.9337	0.2602	1.9840	0.2435	1024	relu	xent
94	15	1.9173	0.2662	1.9811	0.2467	1024	relu	xent
95	16	1.9117	0.2682	1.9845	0.2449	1024	relu	xent
96	17	1.8964	0.2738	1.9721	0.2506	1024	relu	xent
97	18	1.6793	0.3664	1.6571	0.3903	1024	relu	xent
98	19	1.5329	0.4287	1.6668	0.3870	1024	relu	xent
99	20	1.6205	0.4019	1.8971	0.2848	1024	relu	xent
100	1	2.1121	0.2164	1.9777	0.2554	2048	relu	xent
101	2	2.0439	0.2271	2.0738	0.2105	2048	relu	xent
102	3	2.0625	0.2146	2.0542	0.2136	2048	relu	xent
103	4	2.0374	0.2213	2.0276	0.2241	2048	relu	xent
104	5	2.0195	0.2304	2.0132	0.2320	2048	relu	xent
105	6	2.0017	0.2376	2.0060	0.2339	2048	relu	xent
106	7	1.9854	0.2438	2.0023	0.2375	2048	relu	xent
107	8	1.9690	0.2483	1.9928	0.2387	2048	relu	xent
108	9	1.9554	0.2534	1.9837	0.2417	2048	relu	xent
109	10	1.9514	0.2534	1.9808	0.2432	2048	relu	xent
110	11	1.9363	0.2595	1.9778	0.2459	2048	relu	xent
111	12	1.9194	0.2645	1.9772	0.2420	2048	relu	xent
112	13	1.9100	0.2690	1.9721	0.2458	2048	relu	xent
113	14	1.9044	0.2708	1.9729	0.2476	2048	relu	xent
114	15	1.8958	0.2745	1.9636	0.2510	2048	relu	xent
115	16	1.8824	0.2783	1.9653	0.2517	2048	relu	xent
116	17	1.8747	0.2830	1.9684	0.2500	2048	relu	xent
117	18	1.8655	0.2842	1.9661	0.2524	2048	relu	xent
118	19	1.8563	0.2898	1.9661	0.2491	2048	relu	xent
119	20	1.8469	0.2915	1.9607	0.2544	2048	relu	xent
