	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.2717	0.1392	2.2028	0.1636	64	relu	xent
1	2	2.0823	0.2108	1.9871	0.2573	64	relu	xent
2	3	1.9164	0.2945	1.8679	0.3136	64	relu	xent
3	4	1.8175	0.3342	1.7995	0.3355	64	relu	xent
4	5	1.7556	0.3610	1.7324	0.3683	64	relu	xent
5	6	1.7023	0.3833	1.6885	0.3902	64	relu	xent
6	7	1.6522	0.4062	1.6597	0.4059	64	relu	xent
7	8	1.6022	0.4303	1.6054	0.4256	64	relu	xent
8	9	1.5637	0.4424	1.5766	0.4413	64	relu	xent
9	10	1.5233	0.4579	1.5612	0.4481	64	relu	xent
10	11	1.4909	0.4714	1.5464	0.4517	64	relu	xent
11	12	1.4613	0.4812	1.5203	0.4590	64	relu	xent
12	13	1.4265	0.4922	1.4908	0.4706	64	relu	xent
13	14	1.3949	0.5050	1.5043	0.4685	64	relu	xent
14	15	1.3702	0.5131	1.4883	0.4692	64	relu	xent
15	16	1.3458	0.5208	1.4714	0.4756	64	relu	xent
16	17	1.3240	0.5281	1.4809	0.4744	64	relu	xent
17	18	1.3018	0.5359	1.4505	0.4922	64	relu	xent
18	19	1.2836	0.5429	1.4408	0.4917	64	relu	xent
19	20	1.2665	0.5484	1.4636	0.4842	64	relu	xent
20	1	2.2889	0.1597	2.2534	0.1661	128	relu	xent
21	2	2.1460	0.1916	2.0370	0.2347	128	relu	xent
22	3	1.9773	0.2577	1.9338	0.2794	128	relu	xent
23	4	1.8839	0.3071	1.8301	0.3303	128	relu	xent
24	5	1.7865	0.3461	1.7344	0.3745	128	relu	xent
25	6	1.7105	0.3812	1.6772	0.3979	128	relu	xent
26	7	1.6409	0.4145	1.6084	0.4260	128	relu	xent
27	8	1.5851	0.4355	1.5710	0.4421	128	relu	xent
28	9	1.5402	0.4530	1.5445	0.4530	128	relu	xent
29	10	1.4982	0.4690	1.5015	0.4714	128	relu	xent
30	11	1.4502	0.4858	1.4784	0.4776	128	relu	xent
31	12	1.4102	0.4981	1.4658	0.4788	128	relu	xent
32	13	1.3733	0.5108	1.4591	0.4830	128	relu	xent
33	14	1.3420	0.5252	1.4361	0.4904	128	relu	xent
34	15	1.3126	0.5329	1.4141	0.5006	128	relu	xent
35	16	1.2810	0.5473	1.3948	0.5096	128	relu	xent
36	17	1.2533	0.5543	1.4049	0.5051	128	relu	xent
37	18	1.2231	0.5642	1.3982	0.5084	128	relu	xent
38	19	1.2004	0.5747	1.3848	0.5101	128	relu	xent
39	20	1.1727	0.5832	1.3826	0.5157	128	relu	xent
40	1	2.2891	0.1660	2.2537	0.2043	256	relu	xent
41	2	2.1254	0.2230	2.0079	0.2525	256	relu	xent
42	3	1.9271	0.2872	1.8717	0.3096	256	relu	xent
43	4	1.8386	0.3258	1.8016	0.3531	256	relu	xent
44	5	1.7620	0.3627	1.7326	0.3830	256	relu	xent
45	6	1.6813	0.3982	1.6605	0.4162	256	relu	xent
46	7	1.6222	0.4261	1.5931	0.4423	256	relu	xent
47	8	1.5670	0.4481	1.5621	0.4444	256	relu	xent
48	9	1.5160	0.4653	1.5333	0.4574	256	relu	xent
49	10	1.4709	0.4810	1.4923	0.4697	256	relu	xent
50	11	1.4295	0.4988	1.4691	0.4762	256	relu	xent
51	12	1.3915	0.5133	1.4488	0.4863	256	relu	xent
52	13	1.3531	0.5273	1.4240	0.4977	256	relu	xent
53	14	1.3160	0.5379	1.3983	0.5038	256	relu	xent
54	15	1.2764	0.5509	1.3861	0.5110	256	relu	xent
55	16	1.2519	0.5603	1.3895	0.5065	256	relu	xent
56	17	1.2158	0.5718	1.3781	0.5146	256	relu	xent
57	18	1.1843	0.5855	1.3752	0.5170	256	relu	xent
58	19	1.1594	0.5937	1.3702	0.5179	256	relu	xent
59	20	1.1352	0.6022	1.3995	0.5063	256	relu	xent
60	1	2.2923	0.1597	2.2583	0.1728	512	relu	xent
61	2	2.1687	0.1831	2.1019	0.2020	512	relu	xent
62	3	2.0543	0.2258	2.0136	0.2503	512	relu	xent
63	4	1.9801	0.2591	1.9460	0.2738	512	relu	xent
64	5	1.9289	0.2773	1.8946	0.2923	512	relu	xent
65	6	1.8889	0.3013	1.8696	0.3178	512	relu	xent
66	7	1.8444	0.3225	1.8359	0.3268	512	relu	xent
67	8	1.8163	0.3387	1.8836	0.3115	512	relu	xent
68	9	1.8161	0.3364	1.8185	0.3376	512	relu	xent
69	10	1.7848	0.3457	1.7756	0.3507	512	relu	xent
70	11	1.7484	0.3616	1.7588	0.3566	512	relu	xent
71	12	1.7294	0.3644	1.7499	0.3633	512	relu	xent
72	13	1.7241	0.3733	1.7416	0.3696	512	relu	xent
73	14	1.6893	0.3839	1.7160	0.3790	512	relu	xent
74	15	1.6712	0.3938	1.7022	0.3793	512	relu	xent
75	16	1.6521	0.3991	1.6989	0.3828	512	relu	xent
76	17	1.6325	0.4049	1.6976	0.3859	512	relu	xent
77	18	1.6247	0.4111	1.6965	0.3903	512	relu	xent
78	19	1.5958	0.4162	1.6592	0.3965	512	relu	xent
79	20	1.5670	0.4283	1.6383	0.3995	512	relu	xent
80	1	2.2881	0.1702	2.2453	0.1702	1024	relu	xent
81	2	2.1537	0.1821	2.0803	0.2033	1024	relu	xent
82	3	2.0569	0.2283	2.0277	0.2612	1024	relu	xent
83	4	1.9906	0.2787	1.9471	0.3041	1024	relu	xent
84	5	1.9455	0.2934	1.9466	0.2998	1024	relu	xent
85	6	1.8962	0.3190	1.8646	0.3284	1024	relu	xent
86	7	1.8563	0.3342	1.8387	0.3485	1024	relu	xent
87	8	1.8302	0.3420	1.7972	0.3595	1024	relu	xent
88	9	1.8166	0.3428	1.7980	0.3516	1024	relu	xent
89	10	1.7865	0.3526	1.8297	0.3371	1024	relu	xent
90	11	1.7639	0.3601	1.7642	0.3609	1024	relu	xent
91	12	1.7499	0.3668	1.7614	0.3628	1024	relu	xent
92	13	1.7263	0.3764	1.7685	0.3596	1024	relu	xent
93	14	1.6941	0.3843	1.6992	0.3825	1024	relu	xent
94	15	1.6720	0.3919	1.7159	0.3781	1024	relu	xent
95	16	1.6512	0.3978	1.6882	0.3859	1024	relu	xent
96	17	1.6289	0.3992	1.6621	0.3848	1024	relu	xent
97	18	1.6052	0.4104	1.6761	0.3917	1024	relu	xent
98	19	1.6040	0.4128	1.6590	0.3957	1024	relu	xent
99	20	1.6064	0.4128	1.6496	0.3975	1024	relu	xent
100	1	2.2787	0.1834	2.2009	0.1768	2048	relu	xent
101	2	2.1340	0.1924	2.0855	0.2094	2048	relu	xent
102	3	2.0491	0.2426	2.0231	0.2587	2048	relu	xent
103	4	2.0012	0.2673	1.9786	0.2795	2048	relu	xent
104	5	1.9446	0.2889	1.9339	0.2932	2048	relu	xent
105	6	1.9107	0.3001	1.8937	0.3133	2048	relu	xent
106	7	1.8714	0.3124	1.8397	0.3199	2048	relu	xent
107	8	1.8601	0.3187	1.8476	0.3358	2048	relu	xent
108	9	1.8200	0.3374	1.8059	0.3471	2048	relu	xent
109	10	1.7934	0.3408	1.7905	0.3538	2048	relu	xent
110	11	1.7985	0.3411	1.7484	0.3496	2048	relu	xent
111	12	1.7585	0.3422	1.7912	0.3446	2048	relu	xent
112	13	1.7401	0.3549	1.7419	0.3568	2048	relu	xent
113	14	1.7260	0.3691	1.7288	0.3669	2048	relu	xent
114	15	1.7105	0.3776	1.7148	0.3708	2048	relu	xent
115	16	1.6852	0.3812	1.7250	0.3688	2048	relu	xent
116	17	1.6601	0.3839	1.6997	0.3754	2048	relu	xent
