	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	1.9015	0.3013	1.6798	0.3983	64	relu	xent
1	2	1.6389	0.4188	1.5818	0.4375	64	relu	xent
2	3	1.5559	0.4494	1.5739	0.4556	64	relu	xent
3	4	1.5094	0.4686	1.5586	0.4533	64	relu	xent
4	5	1.4762	0.4787	1.5431	0.4578	64	relu	xent
5	6	1.4425	0.4918	1.5037	0.4709	64	relu	xent
6	7	1.4175	0.5018	1.5076	0.4667	64	relu	xent
7	8	1.4044	0.5067	1.4919	0.4761	64	relu	xent
8	9	1.3820	0.5131	1.5119	0.4769	64	relu	xent
9	10	1.3693	0.5191	1.5064	0.4885	64	relu	xent
10	11	1.3511	0.5295	1.5203	0.4673	64	relu	xent
11	12	1.3699	0.5215	1.5471	0.4665	64	relu	xent
12	13	1.3663	0.5233	1.4899	0.4834	64	relu	xent
13	14	1.3376	0.5322	1.4989	0.4840	64	relu	xent
14	15	1.3265	0.5365	1.5496	0.4822	64	relu	xent
15	16	1.3291	0.5388	1.5248	0.4876	64	relu	xent
16	17	1.3149	0.5400	1.5535	0.4712	64	relu	xent
17	18	1.3146	0.5470	1.5287	0.4838	64	relu	xent
18	19	1.3194	0.5439	1.5507	0.4590	64	relu	xent
19	20	1.3084	0.5460	1.5490	0.4762	64	relu	xent
20	1	1.9214	0.2945	1.7448	0.3773	128	relu	xent
21	2	1.6635	0.4089	1.6060	0.4254	128	relu	xent
22	3	1.5948	0.4328	1.6861	0.3993	128	relu	xent
23	4	1.5954	0.4344	1.6220	0.4249	128	relu	xent
24	5	1.5405	0.4573	1.6424	0.4201	128	relu	xent
25	6	1.5393	0.4556	1.6566	0.4285	128	relu	xent
26	7	1.5210	0.4621	1.6617	0.4139	128	relu	xent
27	8	1.5318	0.4618	1.6087	0.4320	128	relu	xent
28	9	1.5217	0.4614	1.5947	0.4466	128	relu	xent
29	10	1.5154	0.4676	1.8541	0.3496	128	relu	xent
30	11	1.6067	0.4351	1.6829	0.4028	128	relu	xent
31	12	1.4812	0.4787	1.5664	0.4618	128	relu	xent
32	13	1.5655	0.4436	1.6787	0.4147	128	relu	xent
33	14	1.5369	0.4602	1.6264	0.4291	128	relu	xent
34	15	1.5278	0.4632	1.6263	0.4370	128	relu	xent
