	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
86	12	0.0593	0.5415	2.0469	0.4946	64	relu	mse
87	13	0.0582	0.5534	2.0310	0.4921	64	relu	mse
88	14	0.0572	0.5631	2.0424	0.4974	64	relu	mse
89	15	0.0563	0.5731	2.0265	0.5024	64	relu	mse
90	16	0.0556	0.5776	2.0410	0.5000	64	relu	mse
91	17	0.0547	0.5873	2.0240	0.5011	64	relu	mse
92	18	0.0538	0.5969	2.0117	0.5054	64	relu	mse
93	19	0.0532	0.6008	2.0262	0.5017	64	relu	mse
94	20	0.0523	0.6074	2.0206	0.5004	64	relu	mse
95	1	0.0899	0.1483	2.2985	0.1542	128	relu	mse
96	2	0.0865	0.1737	2.2531	0.2111	128	relu	mse
97	3	0.0816	0.2524	2.2022	0.2804	128	relu	mse
98	4	0.0785	0.2970	2.1936	0.3095	128	relu	mse
99	5	0.0762	0.3282	2.1634	0.3447	128	relu	mse
100	6	0.0738	0.3598	2.1457	0.3764	128	relu	mse
101	7	0.0705	0.3983	2.1023	0.4219	128	relu	mse
102	8	0.0680	0.4338	2.1042	0.4216	128	relu	mse
103	9	0.0661	0.4571	2.0904	0.4372	128	relu	mse
104	10	0.0644	0.4759	2.0838	0.4428	128	relu	mse
105	11	0.0628	0.4926	2.0694	0.4628	128	relu	mse
106	12	0.0611	0.5101	2.0581	0.4664	128	relu	mse
107	13	0.0597	0.5264	2.0592	0.4636	128	relu	mse
108	14	0.0582	0.5416	2.0651	0.4777	128	relu	mse
109	15	0.0570	0.5535	2.0397	0.4876	128	relu	mse
110	16	0.0556	0.5652	2.0349	0.4909	128	relu	mse
111	17	0.0545	0.5774	2.0251	0.4977	128	relu	mse
112	18	0.0533	0.5905	2.0291	0.4883	128	relu	mse
113	19	0.0524	0.5988	2.0416	0.4729	128	relu	mse
114	20	0.0513	0.6075	2.0278	0.4902	128	relu	mse
115	1	0.0900	0.1614	2.3023	0.1538	256	relu	mse
116	2	0.0868	0.1744	2.2423	0.2197	256	relu	mse
117	3	0.0815	0.2425	2.2231	0.2586	256	relu	mse
118	4	0.0790	0.2885	2.1996	0.2979	256	relu	mse
119	5	0.0771	0.3179	2.1791	0.3227	256	relu	mse
120	6	0.0755	0.3324	2.1644	0.3325	256	relu	mse
121	7	0.0735	0.3661	2.1430	0.3661	256	relu	mse
122	8	0.0709	0.3980	2.1210	0.4016	256	relu	mse
123	9	0.0681	0.4397	2.1052	0.4312	256	relu	mse
124	10	0.0653	0.4764	2.0774	0.4647	256	relu	mse
125	11	0.0632	0.4947	2.0838	0.4524	256	relu	mse
126	12	0.0613	0.5127	2.0597	0.4726	256	relu	mse
127	13	0.0597	0.5298	2.0543	0.4855	256	relu	mse
128	14	0.0580	0.5454	2.0545	0.4811	256	relu	mse
129	15	0.0569	0.5556	2.0444	0.4900	256	relu	mse
130	16	0.0554	0.5717	2.0385	0.4906	256	relu	mse
131	17	0.0539	0.5852	2.0250	0.4970	256	relu	mse
132	18	0.0529	0.5972	2.0201	0.5048	256	relu	mse
